"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -8.17044929005E+001, +0.00000000000E+000
+9.02985000000E+007, -1.12579836679E+002, +0.00000000000E+000
+1.80297000000E+008, -1.04312296136E+002, +0.00000000000E+000
+2.70295500000E+008, -8.88746088227E+001, +0.00000000000E+000
+3.60294000000E+008, -9.38966296803E+001, +0.00000000000E+000
+4.50292500000E+008, -8.21200038805E+001, +0.00000000000E+000
+5.40291000000E+008, -7.83979095119E+001, +0.00000000000E+000
+6.30289500000E+008, -7.88674331220E+001, +0.00000000000E+000
+7.20288000000E+008, -7.91535650553E+001, +0.00000000000E+000
+8.10286500000E+008, -8.52371396691E+001, +0.00000000000E+000
+9.00285000000E+008, -9.31396199410E+001, +0.00000000000E+000
+9.90283500000E+008, -7.99623442081E+001, +0.00000000000E+000
+1.08028200000E+009, -8.29935464096E+001, +0.00000000000E+000
+1.17028050000E+009, -9.32024542446E+001, +0.00000000000E+000
+1.26027900000E+009, -9.08784018065E+001, +0.00000000000E+000
+1.35027750000E+009, -1.01149725507E+002, +0.00000000000E+000
+1.44027600000E+009, -9.10262884110E+001, +0.00000000000E+000
+1.53027450000E+009, -9.35967898939E+001, +0.00000000000E+000
+1.62027300000E+009, -8.56551046419E+001, +0.00000000000E+000
+1.71027150000E+009, -8.64171286765E+001, +0.00000000000E+000
+1.80027000000E+009, -8.78365036647E+001, +0.00000000000E+000
+1.89026850000E+009, -8.66981906926E+001, +0.00000000000E+000
+1.98026700000E+009, -8.81864558781E+001, +0.00000000000E+000
+2.07026550000E+009, -8.83748694418E+001, +0.00000000000E+000
+2.16026400000E+009, -9.62383420134E+001, +0.00000000000E+000
+2.25026250000E+009, -9.39896073721E+001, +0.00000000000E+000
+2.34026100000E+009, -9.18812659206E+001, +0.00000000000E+000
+2.43025950000E+009, -9.57559092858E+001, +0.00000000000E+000
+2.52025800000E+009, -9.10619557612E+001, +0.00000000000E+000
+2.61025650000E+009, -1.00196033279E+002, +0.00000000000E+000
+2.70025500000E+009, -9.14349101663E+001, +0.00000000000E+000
+2.79025350000E+009, -9.26044535384E+001, +0.00000000000E+000
+2.88025200000E+009, -9.08230925062E+001, +0.00000000000E+000
+2.97025050000E+009, -9.24800947268E+001, +0.00000000000E+000
+3.06024900000E+009, -9.30744155584E+001, +0.00000000000E+000
+3.15024750000E+009, -9.54941394274E+001, +0.00000000000E+000
+3.24024600000E+009, -9.22594082055E+001, +0.00000000000E+000
+3.33024450000E+009, -9.29239787906E+001, +0.00000000000E+000
+3.42024300000E+009, -9.35524552440E+001, +0.00000000000E+000
+3.51024150000E+009, -9.30593384882E+001, +0.00000000000E+000
+3.60024000000E+009, -9.23273826448E+001, +0.00000000000E+000
+3.69023850000E+009, -9.49536973792E+001, +0.00000000000E+000
+3.78023700000E+009, -9.32791430200E+001, +0.00000000000E+000
+3.87023550000E+009, -9.94749023537E+001, +0.00000000000E+000
+3.96023400000E+009, -9.96603688793E+001, +0.00000000000E+000
+4.05023250000E+009, -9.40771263769E+001, +0.00000000000E+000
+4.14023100000E+009, -8.98167473340E+001, +0.00000000000E+000
+4.23022950000E+009, -8.99622815996E+001, +0.00000000000E+000
+4.32022800000E+009, -9.22504615079E+001, +0.00000000000E+000
+4.41022650000E+009, -9.65149305289E+001, +0.00000000000E+000
+4.50022500000E+009, -9.26778411613E+001, +0.00000000000E+000
+4.59022350000E+009, -9.33988014737E+001, +0.00000000000E+000
+4.68022200000E+009, -9.59052301792E+001, +0.00000000000E+000
+4.77022050000E+009, -9.88789994388E+001, +0.00000000000E+000
+4.86021900000E+009, -9.41797681948E+001, +0.00000000000E+000
+4.95021750000E+009, -9.70624398911E+001, +0.00000000000E+000
+5.04021600000E+009, -9.62243852387E+001, +0.00000000000E+000
+5.13021450000E+009, -9.99973957968E+001, +0.00000000000E+000
+5.22021300000E+009, -9.90761693096E+001, +0.00000000000E+000
+5.31021150000E+009, -9.45259940711E+001, +0.00000000000E+000
+5.40021000000E+009, -9.21159541409E+001, +0.00000000000E+000
+5.49020850000E+009, -9.59142639529E+001, +0.00000000000E+000
+5.58020700000E+009, -9.13510929197E+001, +0.00000000000E+000
+5.67020550000E+009, -9.63325373963E+001, +0.00000000000E+000
+5.76020400000E+009, -9.02971919031E+001, +0.00000000000E+000
+5.85020250000E+009, -7.46292975190E+001, +0.00000000000E+000
+5.94020100000E+009, -7.59541391686E+001, +0.00000000000E+000
+6.03019950000E+009, -6.79805381562E+001, +0.00000000000E+000
+6.12019800000E+009, -7.28445462148E+001, +0.00000000000E+000
+6.21019650000E+009, -7.78546075858E+001, +0.00000000000E+000
+6.30019500000E+009, -6.89213849589E+001, +0.00000000000E+000
+6.39019350000E+009, -6.87920196175E+001, +0.00000000000E+000
+6.48019200000E+009, -8.58561122116E+001, +0.00000000000E+000
+6.57019050000E+009, -7.53634738755E+001, +0.00000000000E+000
+6.66018900000E+009, -8.45566379240E+001, +0.00000000000E+000
+6.75018750000E+009, -7.53594578427E+001, +0.00000000000E+000
+6.84018600000E+009, -6.96110269938E+001, +0.00000000000E+000
+6.93018450000E+009, -8.93921658808E+001, +0.00000000000E+000
+7.02018300000E+009, -7.64054808691E+001, +0.00000000000E+000
+7.11018150000E+009, -7.82397027800E+001, +0.00000000000E+000
+7.20018000000E+009, -7.66766079606E+001, +0.00000000000E+000
+7.29017850000E+009, -7.37496068487E+001, +0.00000000000E+000
+7.38017700000E+009, -7.17581772545E+001, +0.00000000000E+000
+7.47017550000E+009, -7.87999279820E+001, +0.00000000000E+000
+7.56017400000E+009, -7.80203803190E+001, +0.00000000000E+000
+7.65017250000E+009, -8.87399127317E+001, +0.00000000000E+000
+7.74017100000E+009, -7.26135660345E+001, +0.00000000000E+000
+7.83016950000E+009, -7.86971856718E+001, +0.00000000000E+000
+7.92016800000E+009, -7.42297975365E+001, +0.00000000000E+000
+8.01016650000E+009, -8.14007662619E+001, +0.00000000000E+000
+8.10016500000E+009, -8.39527483264E+001, +0.00000000000E+000
+8.19016350000E+009, -7.49884181770E+001, +0.00000000000E+000
