"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -8.13216356151E+001, +0.00000000000E+000
+9.02985000000E+007, -1.14188653918E+002, +0.00000000000E+000
+1.80297000000E+008, -8.94977644532E+001, +0.00000000000E+000
+2.70295500000E+008, -8.26524743377E+001, +0.00000000000E+000
+3.60294000000E+008, -7.84912540097E+001, +0.00000000000E+000
+4.50292500000E+008, -7.99710175339E+001, +0.00000000000E+000
+5.40291000000E+008, -7.98746708209E+001, +0.00000000000E+000
+6.30289500000E+008, -7.36992238983E+001, +0.00000000000E+000
+7.20288000000E+008, -7.28862947644E+001, +0.00000000000E+000
+8.10286500000E+008, -7.33887621212E+001, +0.00000000000E+000
+9.00285000000E+008, -8.63242789525E+001, +0.00000000000E+000
+9.90283500000E+008, -8.62056246700E+001, +0.00000000000E+000
+1.08028200000E+009, -7.83139734355E+001, +0.00000000000E+000
+1.17028050000E+009, -8.90558332259E+001, +0.00000000000E+000
+1.26027900000E+009, -9.16114332130E+001, +0.00000000000E+000
+1.35027750000E+009, -8.75297523232E+001, +0.00000000000E+000
+1.44027600000E+009, -8.65213291795E+001, +0.00000000000E+000
+1.53027450000E+009, -8.71213963789E+001, +0.00000000000E+000
+1.62027300000E+009, -8.90556251960E+001, +0.00000000000E+000
+1.71027150000E+009, -9.09914100842E+001, +0.00000000000E+000
+1.80027000000E+009, -8.82057501183E+001, +0.00000000000E+000
+1.89026850000E+009, -8.73212792808E+001, +0.00000000000E+000
+1.98026700000E+009, -1.11111036380E+002, +0.00000000000E+000
+2.07026550000E+009, -8.93534901237E+001, +0.00000000000E+000
+2.16026400000E+009, -9.29114080804E+001, +0.00000000000E+000
+2.25026250000E+009, -8.61043990630E+001, +0.00000000000E+000
+2.34026100000E+009, -8.72456719213E+001, +0.00000000000E+000
+2.43025950000E+009, -9.48742394400E+001, +0.00000000000E+000
+2.52025800000E+009, -8.69286378824E+001, +0.00000000000E+000
+2.61025650000E+009, -8.84231037681E+001, +0.00000000000E+000
+2.70025500000E+009, -9.19193123630E+001, +0.00000000000E+000
+2.79025350000E+009, -9.02206849382E+001, +0.00000000000E+000
+2.88025200000E+009, -9.15042755551E+001, +0.00000000000E+000
+2.97025050000E+009, -9.41453119051E+001, +0.00000000000E+000
+3.06024900000E+009, -8.94858511164E+001, +0.00000000000E+000
+3.15024750000E+009, -9.19278229660E+001, +0.00000000000E+000
+3.24024600000E+009, -9.31613201723E+001, +0.00000000000E+000
+3.33024450000E+009, -9.58143851810E+001, +0.00000000000E+000
+3.42024300000E+009, -9.16298045046E+001, +0.00000000000E+000
+3.51024150000E+009, -9.61987782972E+001, +0.00000000000E+000
+3.60024000000E+009, -8.95900232406E+001, +0.00000000000E+000
+3.69023850000E+009, -9.08201283702E+001, +0.00000000000E+000
+3.78023700000E+009, -8.99009156764E+001, +0.00000000000E+000
+3.87023550000E+009, -8.77965457027E+001, +0.00000000000E+000
+3.96023400000E+009, -8.91269538100E+001, +0.00000000000E+000
+4.05023250000E+009, -8.86465295174E+001, +0.00000000000E+000
+4.14023100000E+009, -9.05333408927E+001, +0.00000000000E+000
+4.23022950000E+009, -9.30007805507E+001, +0.00000000000E+000
+4.32022800000E+009, -9.44187377854E+001, +0.00000000000E+000
+4.41022650000E+009, -9.03559644206E+001, +0.00000000000E+000
+4.50022500000E+009, -9.88737401789E+001, +0.00000000000E+000
+4.59022350000E+009, -9.81870060973E+001, +0.00000000000E+000
+4.68022200000E+009, -9.45170814120E+001, +0.00000000000E+000
+4.77022050000E+009, -9.60078421693E+001, +0.00000000000E+000
+4.86021900000E+009, -9.08843691556E+001, +0.00000000000E+000
+4.95021750000E+009, -9.82115287696E+001, +0.00000000000E+000
+5.04021600000E+009, -9.37099190550E+001, +0.00000000000E+000
+5.13021450000E+009, -9.48611086777E+001, +0.00000000000E+000
+5.22021300000E+009, -9.34750093116E+001, +0.00000000000E+000
+5.31021150000E+009, -9.50116943496E+001, +0.00000000000E+000
+5.40021000000E+009, -9.68404668214E+001, +0.00000000000E+000
+5.49020850000E+009, -9.19107140590E+001, +0.00000000000E+000
+5.58020700000E+009, -9.91140157751E+001, +0.00000000000E+000
+5.67020550000E+009, -9.15788610621E+001, +0.00000000000E+000
+5.76020400000E+009, -8.32398920908E+001, +0.00000000000E+000
+5.85020250000E+009, -8.28010725837E+001, +0.00000000000E+000
+5.94020100000E+009, -7.14459363548E+001, +0.00000000000E+000
+6.03019950000E+009, -6.63861084341E+001, +0.00000000000E+000
+6.12019800000E+009, -7.16007095591E+001, +0.00000000000E+000
+6.21019650000E+009, -7.56506968076E+001, +0.00000000000E+000
+6.30019500000E+009, -6.44287332331E+001, +0.00000000000E+000
+6.39019350000E+009, -6.94403917233E+001, +0.00000000000E+000
+6.48019200000E+009, -7.59760415138E+001, +0.00000000000E+000
+6.57019050000E+009, -7.05788791048E+001, +0.00000000000E+000
+6.66018900000E+009, -6.65600706552E+001, +0.00000000000E+000
+6.75018750000E+009, -7.37850072220E+001, +0.00000000000E+000
+6.84018600000E+009, -6.52586882967E+001, +0.00000000000E+000
+6.93018450000E+009, -6.42526010175E+001, +0.00000000000E+000
+7.02018300000E+009, -6.87999265251E+001, +0.00000000000E+000
