"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -8.26741641928E+001, +0.00000000000E+000
+9.02985000000E+007, -1.02122687419E+002, +0.00000000000E+000
+1.80297000000E+008, -7.98146596241E+001, +0.00000000000E+000
+2.70295500000E+008, -7.92366676277E+001, +0.00000000000E+000
+3.60294000000E+008, -7.10116852849E+001, +0.00000000000E+000
+4.50292500000E+008, -7.46917721168E+001, +0.00000000000E+000
+5.40291000000E+008, -7.17068224856E+001, +0.00000000000E+000
+6.30289500000E+008, -7.94810140320E+001, +0.00000000000E+000
+7.20288000000E+008, -7.03071143062E+001, +0.00000000000E+000
+8.10286500000E+008, -6.60215190179E+001, +0.00000000000E+000
+9.00285000000E+008, -6.87689660383E+001, +0.00000000000E+000
+9.90283500000E+008, -6.62954310481E+001, +0.00000000000E+000
+1.08028200000E+009, -6.97793033068E+001, +0.00000000000E+000
+1.17028050000E+009, -7.40874739704E+001, +0.00000000000E+000
+1.26027900000E+009, -7.20503666153E+001, +0.00000000000E+000
+1.35027750000E+009, -7.48920984598E+001, +0.00000000000E+000
+1.44027600000E+009, -7.66246202661E+001, +0.00000000000E+000
+1.53027450000E+009, -8.04682303851E+001, +0.00000000000E+000
+1.62027300000E+009, -7.49495817099E+001, +0.00000000000E+000
+1.71027150000E+009, -7.68980542130E+001, +0.00000000000E+000
+1.80027000000E+009, -7.87492692192E+001, +0.00000000000E+000
+1.89026850000E+009, -7.80324235727E+001, +0.00000000000E+000
+1.98026700000E+009, -8.11840654919E+001, +0.00000000000E+000
+2.07026550000E+009, -9.07725004184E+001, +0.00000000000E+000
+2.16026400000E+009, -8.51089245823E+001, +0.00000000000E+000
+2.25026250000E+009, -8.72245841492E+001, +0.00000000000E+000
+2.34026100000E+009, -8.52769141732E+001, +0.00000000000E+000
+2.43025950000E+009, -8.47702258116E+001, +0.00000000000E+000
+2.52025800000E+009, -8.73732202971E+001, +0.00000000000E+000
+2.61025650000E+009, -8.28351892153E+001, +0.00000000000E+000
+2.70025500000E+009, -8.57485542570E+001, +0.00000000000E+000
+2.79025350000E+009, -8.20381165523E+001, +0.00000000000E+000
+2.88025200000E+009, -8.43748178748E+001, +0.00000000000E+000
+2.97025050000E+009, -8.42370687304E+001, +0.00000000000E+000
+3.06024900000E+009, -8.61130803060E+001, +0.00000000000E+000
+3.15024750000E+009, -8.91782949068E+001, +0.00000000000E+000
+3.24024600000E+009, -9.15859458434E+001, +0.00000000000E+000
+3.33024450000E+009, -9.13496343002E+001, +0.00000000000E+000
+3.42024300000E+009, -9.39609988521E+001, +0.00000000000E+000
+3.51024150000E+009, -9.63869723606E+001, +0.00000000000E+000
+3.60024000000E+009, -8.87548015770E+001, +0.00000000000E+000
+3.69023850000E+009, -9.12218960511E+001, +0.00000000000E+000
+3.78023700000E+009, -8.99414076935E+001, +0.00000000000E+000
+3.87023550000E+009, -9.46990628762E+001, +0.00000000000E+000
+3.96023400000E+009, -1.01066835997E+002, +0.00000000000E+000
+4.05023250000E+009, -9.66878647498E+001, +0.00000000000E+000
+4.14023100000E+009, -9.52170800978E+001, +0.00000000000E+000
+4.23022950000E+009, -8.93371739943E+001, +0.00000000000E+000
+4.32022800000E+009, -9.59917409776E+001, +0.00000000000E+000
+4.41022650000E+009, -9.06015177860E+001, +0.00000000000E+000
+4.50022500000E+009, -8.84047371474E+001, +0.00000000000E+000
+4.59022350000E+009, -8.77912751502E+001, +0.00000000000E+000
+4.68022200000E+009, -8.87842358579E+001, +0.00000000000E+000
+4.77022050000E+009, -8.64374997611E+001, +0.00000000000E+000
+4.86021900000E+009, -8.86106293145E+001, +0.00000000000E+000
+4.95021750000E+009, -9.15940396496E+001, +0.00000000000E+000
+5.04021600000E+009, -8.95025397341E+001, +0.00000000000E+000
+5.13021450000E+009, -9.40242970908E+001, +0.00000000000E+000
+5.22021300000E+009, -9.14001248382E+001, +0.00000000000E+000
+5.31021150000E+009, -9.04472258276E+001, +0.00000000000E+000
+5.40021000000E+009, -9.65058471741E+001, +0.00000000000E+000
+5.49020850000E+009, -9.40937654826E+001, +0.00000000000E+000
+5.58020700000E+009, -9.51310157047E+001, +0.00000000000E+000
+5.67020550000E+009, -1.06234042436E+002, +0.00000000000E+000
+5.76020400000E+009, -9.42789403789E+001, +0.00000000000E+000
+5.85020250000E+009, -8.78400863978E+001, +0.00000000000E+000
+5.94020100000E+009, -8.58569673814E+001, +0.00000000000E+000
+6.03019950000E+009, -8.27246940777E+001, +0.00000000000E+000
+6.12019800000E+009, -8.00381928020E+001, +0.00000000000E+000
+6.21019650000E+009, -8.20426218409E+001, +0.00000000000E+000
+6.30019500000E+009, -8.14854451330E+001, +0.00000000000E+000
+6.39019350000E+009, -8.44103438993E+001, +0.00000000000E+000
+6.48019200000E+009, -8.62143522053E+001, +0.00000000000E+000
+6.57019050000E+009, -8.81890616096E+001, +0.00000000000E+000
+6.66018900000E+009, -8.64330559814E+001, +0.00000000000E+000
+6.75018750000E+009, -9.29551120366E+001, +0.00000000000E+000
+6.84018600000E+009, -8.32906285595E+001, +0.00000000000E+000
+6.93018450000E+009, -7.81115348821E+001, +0.00000000000E+000
+7.02018300000E+009, -9.00959580905E+001, +0.00000000000E+000
+7.11018150000E+009, -8.03644339098E+001, +0.00000000000E+000
+7.20018000000E+009, -9.60109101852E+001, +0.00000000000E+000
+7.29017850000E+009, -8.67164712872E+001, +0.00000000000E+000
+7.38017700000E+009, -8.33314894743E+001, +0.00000000000E+000
+7.47017550000E+009, -8.22023221959E+001, +0.00000000000E+000
+7.56017400000E+009, -7.48020226379E+001, +0.00000000000E+000
+7.65017250000E+009, -7.89668254811E+001, +0.00000000000E+000
+7.74017100000E+009, -8.50370882321E+001, +0.00000000000E+000
+7.83016950000E+009, -8.57163675633E+001, +0.00000000000E+000
+7.92016800000E+009, -8.79764320410E+001, +0.00000000000E+000
+8.01016650000E+009, -8.60756487306E+001, +0.00000000000E+000
+8.10016500000E+009, -8.96110746185E+001, +0.00000000000E+000
+8.19016350000E+009, -8.82971121873E+001, +0.00000000000E+000
+8.28016200000E+009, -7.95807925196E+001, +0.00000000000E+000
+8.37016050000E+009, -8.19775285515E+001, +0.00000000000E+000
+8.46015900000E+009, -8.02782213696E+001, +0.00000000000E+000
+8.55015750000E+009, -9.38477081801E+001, +0.00000000000E+000
+8.64015600000E+009, -8.95709658135E+001, +0.00000000000E+000
+8.73015450000E+009, -9.19297089938E+001, +0.00000000000E+000
+8.82015300000E+009, -9.06122788140E+001, +0.00000000000E+000
+8.91015150000E+009, -8.78714622138E+001, +0.00000000000E+000
+9.00015000000E+009, -9.18750684668E+001, +0.00000000000E+000
+9.09014850000E+009, -7.94502553194E+001, +0.00000000000E+000
+9.18014700000E+009, -8.53296420071E+001, +0.00000000000E+000
+9.27014550000E+009, -9.16734995201E+001, +0.00000000000E+000
+9.36014400000E+009, -8.45126029583E+001, +0.00000000000E+000
+9.45014250000E+009, -8.41216704623E+001, +0.00000000000E+000
+9.54014100000E+009, -8.53817887864E+001, +0.00000000000E+000
+9.63013950000E+009, -8.48042149942E+001, +0.00000000000E+000
+9.72013800000E+009, -9.06033856766E+001, +0.00000000000E+000
+9.81013650000E+009, -8.48173508635E+001, +0.00000000000E+000
+9.90013500000E+009, -8.96200433312E+001, +0.00000000000E+000
+9.99013350000E+009, -8.06963207554E+001, +0.00000000000E+000
+1.00801320000E+010, -8.39970136666E+001, +0.00000000000E+000
+1.01701305000E+010, -9.36761221726E+001, +0.00000000000E+000
+1.02601290000E+010, -8.45014439350E+001, +0.00000000000E+000
+1.03501275000E+010, -9.41718353689E+001, +0.00000000000E+000
+1.04401260000E+010, -8.66734318913E+001, +0.00000000000E+000
+1.05301245000E+010, -8.12386306626E+001, +0.00000000000E+000
+1.06201230000E+010, -8.00267200145E+001, +0.00000000000E+000
+1.07101215000E+010, -9.26507678129E+001, +0.00000000000E+000
+1.08001200000E+010, -8.85817288299E+001, +0.00000000000E+000
+1.08901185000E+010, -8.10712533070E+001, +0.00000000000E+000
+1.09801170000E+010, -8.53407957652E+001, +0.00000000000E+000
+1.10701155000E+010, -1.03936387787E+002, +0.00000000000E+000
+1.11601140000E+010, -9.68476902204E+001, +0.00000000000E+000
+1.12501125000E+010, -9.89700736287E+001, +0.00000000000E+000
+1.13401110000E+010, -9.20879612211E+001, +0.00000000000E+000
+1.14301095000E+010, -9.15591913105E+001, +0.00000000000E+000
+1.15201080000E+010, -9.17390533494E+001, +0.00000000000E+000
+1.16101065000E+010, -8.87438008271E+001, +0.00000000000E+000
+1.17001050000E+010, -8.02673535730E+001, +0.00000000000E+000
+1.17901035000E+010, -8.27822457885E+001, +0.00000000000E+000
+1.18801020000E+010, -9.67216964376E+001, +0.00000000000E+000
+1.19701005000E+010, -8.39181267360E+001, +0.00000000000E+000
+1.20600990000E+010, -8.95351916298E+001, +0.00000000000E+000
+1.21500975000E+010, -9.26668525493E+001, +0.00000000000E+000
+1.22400960000E+010, -8.37915311930E+001, +0.00000000000E+000
+1.23300945000E+010, -9.26344194109E+001, +0.00000000000E+000
+1.24200930000E+010, -9.06921801310E+001, +0.00000000000E+000
+1.25100915000E+010, -8.73335972278E+001, +0.00000000000E+000
+1.26000900000E+010, -8.20076999884E+001, +0.00000000000E+000
+1.26900885000E+010, -8.40889101569E+001, +0.00000000000E+000
+1.27800870000E+010, -9.08486602442E+001, +0.00000000000E+000
+1.28700855000E+010, -8.35173363846E+001, +0.00000000000E+000
+1.29600840000E+010, -9.48445814116E+001, +0.00000000000E+000
+1.30500825000E+010, -8.44779758560E+001, +0.00000000000E+000
+1.31400810000E+010, -9.33769960340E+001, +0.00000000000E+000
+1.32300795000E+010, -8.16673320597E+001, +0.00000000000E+000
+1.33200780000E+010, -8.39894267645E+001, +0.00000000000E+000
+1.34100765000E+010, -9.71288616071E+001, +0.00000000000E+000
+1.35000750000E+010, -9.59180308586E+001, +0.00000000000E+000
+1.35900735000E+010, -8.46935291142E+001, +0.00000000000E+000
+1.36800720000E+010, -9.62704418503E+001, +0.00000000000E+000
+1.37700705000E+010, -9.18303575853E+001, +0.00000000000E+000
+1.38600690000E+010, -9.37615390937E+001, +0.00000000000E+000
+1.39500675000E+010, -9.37104321596E+001, +0.00000000000E+000
+1.40400660000E+010, -8.54614988702E+001, +0.00000000000E+000
+1.41300645000E+010, -8.73068142812E+001, +0.00000000000E+000
+1.42200630000E+010, -1.01064390874E+002, +0.00000000000E+000
+1.43100615000E+010, -1.02447515337E+002, +0.00000000000E+000
+1.44000600000E+010, -9.06834888302E+001, +0.00000000000E+000
+1.44900585000E+010, -9.01432794010E+001, +0.00000000000E+000
+1.45800570000E+010, -8.74151088606E+001, +0.00000000000E+000
+1.46700555000E+010, -9.96975670142E+001, +0.00000000000E+000
+1.47600540000E+010, -9.25568236151E+001, +0.00000000000E+000
+1.48500525000E+010, -8.87355311068E+001, +0.00000000000E+000
+1.49400510000E+010, -8.81021944980E+001, +0.00000000000E+000
+1.50300495000E+010, -8.91336767747E+001, +0.00000000000E+000
+1.51200480000E+010, -8.99922890279E+001, +0.00000000000E+000
+1.52100465000E+010, -9.30907186828E+001, +0.00000000000E+000
+1.53000450000E+010, -8.76447756337E+001, +0.00000000000E+000
+1.53900435000E+010, -8.71564111119E+001, +0.00000000000E+000
+1.54800420000E+010, -9.80954515359E+001, +0.00000000000E+000
+1.55700405000E+010, -9.05938420516E+001, +0.00000000000E+000
+1.56600390000E+010, -9.06049546493E+001, +0.00000000000E+000
+1.57500375000E+010, -1.05046527445E+002, +0.00000000000E+000
+1.58400360000E+010, -8.83440326675E+001, +0.00000000000E+000
+1.59300345000E+010, -9.35680500003E+001, +0.00000000000E+000
+1.60200330000E+010, -9.89234793770E+001, +0.00000000000E+000
+1.61100315000E+010, -9.85260308157E+001, +0.00000000000E+000
+1.62000300000E+010, -8.89630705814E+001, +0.00000000000E+000
+1.62900285000E+010, -8.80840713976E+001, +0.00000000000E+000
+1.63800270000E+010, -9.04284563127E+001, +0.00000000000E+000
+1.64700255000E+010, -8.96978921074E+001, +0.00000000000E+000
+1.65600240000E+010, -8.77404092211E+001, +0.00000000000E+000
+1.66500225000E+010, -8.91382923501E+001, +0.00000000000E+000
+1.67400210000E+010, -9.09370238317E+001, +0.00000000000E+000
+1.68300195000E+010, -9.72715716249E+001, +0.00000000000E+000
+1.69200180000E+010, -8.91028913894E+001, +0.00000000000E+000
+1.70100165000E+010, -9.06944944425E+001, +0.00000000000E+000
+1.71000150000E+010, -1.01187628117E+002, +0.00000000000E+000
+1.71900135000E+010, -9.90563966326E+001, +0.00000000000E+000
+1.72800120000E+010, -9.59930021319E+001, +0.00000000000E+000
