"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -7.96825355806E+001, +0.00000000000E+000
+9.02985000000E+007, -1.03120974463E+002, +0.00000000000E+000
+1.80297000000E+008, -8.29208897197E+001, +0.00000000000E+000
+2.70295500000E+008, -7.49470041864E+001, +0.00000000000E+000
+3.60294000000E+008, -7.19183646613E+001, +0.00000000000E+000
+4.50292500000E+008, -6.53485963343E+001, +0.00000000000E+000
+5.40291000000E+008, -6.76437016279E+001, +0.00000000000E+000
+6.30289500000E+008, -6.76857198535E+001, +0.00000000000E+000
+7.20288000000E+008, -6.67620891540E+001, +0.00000000000E+000
+8.10286500000E+008, -8.63223378296E+001, +0.00000000000E+000
+9.00285000000E+008, -6.80362361456E+001, +0.00000000000E+000
+9.90283500000E+008, -6.67605923136E+001, +0.00000000000E+000
+1.08028200000E+009, -6.53207821044E+001, +0.00000000000E+000
+1.17028050000E+009, -6.73882823486E+001, +0.00000000000E+000
+1.26027900000E+009, -7.07630531083E+001, +0.00000000000E+000
+1.35027750000E+009, -7.64831292686E+001, +0.00000000000E+000
+1.44027600000E+009, -7.55674190692E+001, +0.00000000000E+000
+1.53027450000E+009, -8.29968665755E+001, +0.00000000000E+000
+1.62027300000E+009, -7.45634586854E+001, +0.00000000000E+000
+1.71027150000E+009, -8.07728551966E+001, +0.00000000000E+000
+1.80027000000E+009, -8.48807938694E+001, +0.00000000000E+000
+1.89026850000E+009, -7.78769591257E+001, +0.00000000000E+000
+1.98026700000E+009, -8.43262418598E+001, +0.00000000000E+000
+2.07026550000E+009, -7.88381578474E+001, +0.00000000000E+000
+2.16026400000E+009, -8.49974545199E+001, +0.00000000000E+000
+2.25026250000E+009, -8.30353780734E+001, +0.00000000000E+000
+2.34026100000E+009, -8.36660846622E+001, +0.00000000000E+000
+2.43025950000E+009, -8.13794803081E+001, +0.00000000000E+000
+2.52025800000E+009, -8.73129129853E+001, +0.00000000000E+000
+2.61025650000E+009, -8.54524912739E+001, +0.00000000000E+000
+2.70025500000E+009, -8.16770222634E+001, +0.00000000000E+000
+2.79025350000E+009, -8.87930130045E+001, +0.00000000000E+000
+2.88025200000E+009, -8.38296314325E+001, +0.00000000000E+000
+2.97025050000E+009, -8.58743779650E+001, +0.00000000000E+000
+3.06024900000E+009, -8.97044832992E+001, +0.00000000000E+000
+3.15024750000E+009, -8.64543850036E+001, +0.00000000000E+000
+3.24024600000E+009, -8.82896519379E+001, +0.00000000000E+000
+3.33024450000E+009, -8.80767078883E+001, +0.00000000000E+000
+3.42024300000E+009, -9.45850428879E+001, +0.00000000000E+000
+3.51024150000E+009, -9.23004369143E+001, +0.00000000000E+000
+3.60024000000E+009, -9.16371646756E+001, +0.00000000000E+000
+3.69023850000E+009, -9.42149952790E+001, +0.00000000000E+000
+3.78023700000E+009, -8.82183899566E+001, +0.00000000000E+000
+3.87023550000E+009, -9.13871631980E+001, +0.00000000000E+000
+3.96023400000E+009, -8.71205472014E+001, +0.00000000000E+000
+4.05023250000E+009, -8.41271990393E+001, +0.00000000000E+000
+4.14023100000E+009, -8.38547323049E+001, +0.00000000000E+000
+4.23022950000E+009, -8.29172984901E+001, +0.00000000000E+000
+4.32022800000E+009, -8.37535147955E+001, +0.00000000000E+000
+4.41022650000E+009, -8.45319498008E+001, +0.00000000000E+000
+4.50022500000E+009, -8.48920099820E+001, +0.00000000000E+000
+4.59022350000E+009, -8.39613939376E+001, +0.00000000000E+000
+4.68022200000E+009, -8.67590893326E+001, +0.00000000000E+000
+4.77022050000E+009, -8.69598621288E+001, +0.00000000000E+000
+4.86021900000E+009, -9.24357691297E+001, +0.00000000000E+000
+4.95021750000E+009, -9.85073148137E+001, +0.00000000000E+000
+5.04021600000E+009, -9.49462143843E+001, +0.00000000000E+000
+5.13021450000E+009, -9.89822534801E+001, +0.00000000000E+000
+5.22021300000E+009, -9.82731514339E+001, +0.00000000000E+000
+5.31021150000E+009, -9.63027909974E+001, +0.00000000000E+000
+5.40021000000E+009, -9.37037191524E+001, +0.00000000000E+000
+5.49020850000E+009, -9.23865512133E+001, +0.00000000000E+000
+5.58020700000E+009, -9.31063542796E+001, +0.00000000000E+000
+5.67020550000E+009, -9.52391014144E+001, +0.00000000000E+000
+5.76020400000E+009, -8.89382077399E+001, +0.00000000000E+000
+5.85020250000E+009, -9.27923781076E+001, +0.00000000000E+000
+5.94020100000E+009, -8.33298890983E+001, +0.00000000000E+000
+6.03019950000E+009, -9.07271632275E+001, +0.00000000000E+000
+6.12019800000E+009, -8.80694240890E+001, +0.00000000000E+000
+6.21019650000E+009, -8.28237951287E+001, +0.00000000000E+000
+6.30019500000E+009, -7.85741818849E+001, +0.00000000000E+000
+6.39019350000E+009, -9.60442312239E+001, +0.00000000000E+000
+6.48019200000E+009, -9.22897478649E+001, +0.00000000000E+000
+6.57019050000E+009, -8.46011870981E+001, +0.00000000000E+000
+6.66018900000E+009, -8.63796414564E+001, +0.00000000000E+000
+6.75018750000E+009, -8.15085248833E+001, +0.00000000000E+000
+6.84018600000E+009, -8.02798645267E+001, +0.00000000000E+000
+6.93018450000E+009, -8.10952207473E+001, +0.00000000000E+000
+7.02018300000E+009, -8.12680531807E+001, +0.00000000000E+000
+7.11018150000E+009, -9.34011238851E+001, +0.00000000000E+000
+7.20018000000E+009, -8.08401040619E+001, +0.00000000000E+000
+7.29017850000E+009, -7.98989147570E+001, +0.00000000000E+000
+7.38017700000E+009, -8.69722949441E+001, +0.00000000000E+000
+7.47017550000E+009, -8.74332991957E+001, +0.00000000000E+000
+7.56017400000E+009, -8.17797380364E+001, +0.00000000000E+000
+7.65017250000E+009, -8.25241404528E+001, +0.00000000000E+000
+7.74017100000E+009, -9.03973920507E+001, +0.00000000000E+000
+7.83016950000E+009, -8.36962618483E+001, +0.00000000000E+000
+7.92016800000E+009, -8.38686196234E+001, +0.00000000000E+000
+8.01016650000E+009, -9.00949057089E+001, +0.00000000000E+000
+8.10016500000E+009, -8.15876044906E+001, +0.00000000000E+000
+8.19016350000E+009, -8.46569887932E+001, +0.00000000000E+000
+8.28016200000E+009, -7.76029599810E+001, +0.00000000000E+000
+8.37016050000E+009, -9.20399247144E+001, +0.00000000000E+000
+8.46015900000E+009, -1.07721969331E+002, +0.00000000000E+000
+8.55015750000E+009, -9.30919210378E+001, +0.00000000000E+000
+8.64015600000E+009, -8.95904590215E+001, +0.00000000000E+000
+8.73015450000E+009, -9.59876073003E+001, +0.00000000000E+000
