"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -8.16174265501E+001, +0.00000000000E+000
+9.02985000000E+007, -9.37774689220E+001, +0.00000000000E+000
+1.80297000000E+008, -7.17552141836E+001, +0.00000000000E+000
+2.70295500000E+008, -6.41025853133E+001, +0.00000000000E+000
+3.60294000000E+008, -7.10457475876E+001, +0.00000000000E+000
+4.50292500000E+008, -6.29088353686E+001, +0.00000000000E+000
+5.40291000000E+008, -7.14975826019E+001, +0.00000000000E+000
+6.30289500000E+008, -5.43748804964E+001, +0.00000000000E+000
+7.20288000000E+008, -5.55660101557E+001, +0.00000000000E+000
+8.10286500000E+008, -5.73264815416E+001, +0.00000000000E+000
+9.00285000000E+008, -6.03228335915E+001, +0.00000000000E+000
+9.90283500000E+008, -5.59881843727E+001, +0.00000000000E+000
+1.08028200000E+009, -5.71869744242E+001, +0.00000000000E+000
+1.17028050000E+009, -5.83977393076E+001, +0.00000000000E+000
+1.26027900000E+009, -6.04908224761E+001, +0.00000000000E+000
+1.35027750000E+009, -6.18331653015E+001, +0.00000000000E+000
+1.44027600000E+009, -6.79003926586E+001, +0.00000000000E+000
+1.53027450000E+009, -6.95889514631E+001, +0.00000000000E+000
+1.62027300000E+009, -7.33224401934E+001, +0.00000000000E+000
+1.71027150000E+009, -7.17182179376E+001, +0.00000000000E+000
+1.80027000000E+009, -7.60786208390E+001, +0.00000000000E+000
+1.89026850000E+009, -7.04013790971E+001, +0.00000000000E+000
+1.98026700000E+009, -7.35555292335E+001, +0.00000000000E+000
+2.07026550000E+009, -7.45734519867E+001, +0.00000000000E+000
+2.16026400000E+009, -7.92637868911E+001, +0.00000000000E+000
+2.25026250000E+009, -8.44100474020E+001, +0.00000000000E+000
+2.34026100000E+009, -7.89645781677E+001, +0.00000000000E+000
+2.43025950000E+009, -8.01149105072E+001, +0.00000000000E+000
+2.52025800000E+009, -8.11596105076E+001, +0.00000000000E+000
+2.61025650000E+009, -8.55826219834E+001, +0.00000000000E+000
+2.70025500000E+009, -9.09728430913E+001, +0.00000000000E+000
+2.79025350000E+009, -9.57341945379E+001, +0.00000000000E+000
+2.88025200000E+009, -9.53438042121E+001, +0.00000000000E+000
+2.97025050000E+009, -8.68810840639E+001, +0.00000000000E+000
+3.06024900000E+009, -8.63814505105E+001, +0.00000000000E+000
+3.15024750000E+009, -8.03196333142E+001, +0.00000000000E+000
+3.24024600000E+009, -8.18285125055E+001, +0.00000000000E+000
+3.33024450000E+009, -8.04844022556E+001, +0.00000000000E+000
+3.42024300000E+009, -7.96382078972E+001, +0.00000000000E+000
+3.51024150000E+009, -7.94067067230E+001, +0.00000000000E+000
+3.60024000000E+009, -7.85236174919E+001, +0.00000000000E+000
+3.69023850000E+009, -7.94745148977E+001, +0.00000000000E+000
+3.78023700000E+009, -7.59751609827E+001, +0.00000000000E+000
+3.87023550000E+009, -7.52604834978E+001, +0.00000000000E+000
+3.96023400000E+009, -7.33715736370E+001, +0.00000000000E+000
+4.05023250000E+009, -7.33512455424E+001, +0.00000000000E+000
+4.14023100000E+009, -7.35885017035E+001, +0.00000000000E+000
+4.23022950000E+009, -7.21128522997E+001, +0.00000000000E+000
+4.32022800000E+009, -7.45705357185E+001, +0.00000000000E+000
+4.41022650000E+009, -7.49462063135E+001, +0.00000000000E+000
+4.50022500000E+009, -7.56419702851E+001, +0.00000000000E+000
+4.59022350000E+009, -7.67104672920E+001, +0.00000000000E+000
+4.68022200000E+009, -7.95978774804E+001, +0.00000000000E+000
+4.77022050000E+009, -8.62267649927E+001, +0.00000000000E+000
+4.86021900000E+009, -8.32579501545E+001, +0.00000000000E+000
+4.95021750000E+009, -8.45831210481E+001, +0.00000000000E+000
+5.04021600000E+009, -8.02720824238E+001, +0.00000000000E+000
+5.13021450000E+009, -7.85542892382E+001, +0.00000000000E+000
+5.22021300000E+009, -7.76865212003E+001, +0.00000000000E+000
+5.31021150000E+009, -7.64821969415E+001, +0.00000000000E+000
+5.40021000000E+009, -7.79084608776E+001, +0.00000000000E+000
+5.49020850000E+009, -7.64364149747E+001, +0.00000000000E+000
+5.58020700000E+009, -7.59605757790E+001, +0.00000000000E+000
+5.67020550000E+009, -7.68490062053E+001, +0.00000000000E+000
+5.76020400000E+009, -7.79518385247E+001, +0.00000000000E+000
+5.85020250000E+009, -7.77485066458E+001, +0.00000000000E+000
+5.94020100000E+009, -7.80454856250E+001, +0.00000000000E+000
+6.03019950000E+009, -7.93527785409E+001, +0.00000000000E+000
+6.12019800000E+009, -8.12484185830E+001, +0.00000000000E+000
+6.21019650000E+009, -8.72676751091E+001, +0.00000000000E+000
+6.30019500000E+009, -8.23510246668E+001, +0.00000000000E+000
+6.39019350000E+009, -8.49066636052E+001, +0.00000000000E+000
+6.48019200000E+009, -8.41174813455E+001, +0.00000000000E+000
+6.57019050000E+009, -7.86617552903E+001, +0.00000000000E+000
+6.66018900000E+009, -7.84132794816E+001, +0.00000000000E+000
+6.75018750000E+009, -9.24001674354E+001, +0.00000000000E+000
+6.84018600000E+009, -9.23694718119E+001, +0.00000000000E+000
+6.93018450000E+009, -8.44316269170E+001, +0.00000000000E+000
+7.02018300000E+009, -8.68293495061E+001, +0.00000000000E+000
+7.11018150000E+009, -8.46157298432E+001, +0.00000000000E+000
+7.20018000000E+009, -7.87964624308E+001, +0.00000000000E+000
+7.29017850000E+009, -8.40275789362E+001, +0.00000000000E+000
+7.38017700000E+009, -7.97292319429E+001, +0.00000000000E+000
+7.47017550000E+009, -7.97204714631E+001, +0.00000000000E+000
+7.56017400000E+009, -8.39968669838E+001, +0.00000000000E+000
+7.65017250000E+009, -7.79296454654E+001, +0.00000000000E+000
+7.74017100000E+009, -8.08889553395E+001, +0.00000000000E+000
+7.83016950000E+009, -7.89099648267E+001, +0.00000000000E+000
+7.92016800000E+009, -8.14061725105E+001, +0.00000000000E+000
+8.01016650000E+009, -8.28942263920E+001, +0.00000000000E+000
+8.10016500000E+009, -7.85680382980E+001, +0.00000000000E+000
