"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -7.95318564222E+001, +0.00000000000E+000
+9.02985000000E+007, -9.19016020002E+001, +0.00000000000E+000
+1.80297000000E+008, -7.19894178812E+001, +0.00000000000E+000
+2.70295500000E+008, -6.43767946156E+001, +0.00000000000E+000
+3.60294000000E+008, -6.83864093266E+001, +0.00000000000E+000
+4.50292500000E+008, -6.10148780869E+001, +0.00000000000E+000
+5.40291000000E+008, -6.54386421408E+001, +0.00000000000E+000
+6.30289500000E+008, -6.58399234417E+001, +0.00000000000E+000
+7.20288000000E+008, -5.74380468585E+001, +0.00000000000E+000
+8.10286500000E+008, -6.53946091175E+001, +0.00000000000E+000
+9.00285000000E+008, -6.37954836037E+001, +0.00000000000E+000
+9.90283500000E+008, -5.83378265401E+001, +0.00000000000E+000
+1.08028200000E+009, -5.85053674938E+001, +0.00000000000E+000
+1.17028050000E+009, -6.19155413436E+001, +0.00000000000E+000
+1.26027900000E+009, -6.22508886162E+001, +0.00000000000E+000
+1.35027750000E+009, -7.08791840063E+001, +0.00000000000E+000
+1.44027600000E+009, -7.19888645420E+001, +0.00000000000E+000
+1.53027450000E+009, -6.93674096565E+001, +0.00000000000E+000
+1.62027300000E+009, -6.75926962444E+001, +0.00000000000E+000
+1.71027150000E+009, -8.11179426104E+001, +0.00000000000E+000
+1.80027000000E+009, -6.88257971792E+001, +0.00000000000E+000
+1.89026850000E+009, -6.91111063433E+001, +0.00000000000E+000
+1.98026700000E+009, -7.09847266517E+001, +0.00000000000E+000
+2.07026550000E+009, -7.34199380830E+001, +0.00000000000E+000
+2.16026400000E+009, -7.62596663971E+001, +0.00000000000E+000
+2.25026250000E+009, -7.63205559737E+001, +0.00000000000E+000
+2.34026100000E+009, -7.65030615361E+001, +0.00000000000E+000
+2.43025950000E+009, -7.63589893652E+001, +0.00000000000E+000
+2.52025800000E+009, -7.74389990502E+001, +0.00000000000E+000
+2.61025650000E+009, -7.38316966115E+001, +0.00000000000E+000
+2.70025500000E+009, -7.40715852103E+001, +0.00000000000E+000
+2.79025350000E+009, -8.11660205976E+001, +0.00000000000E+000
+2.88025200000E+009, -7.88924266621E+001, +0.00000000000E+000
+2.97025050000E+009, -7.75198973328E+001, +0.00000000000E+000
+3.06024900000E+009, -7.81100698807E+001, +0.00000000000E+000
+3.15024750000E+009, -8.14803671554E+001, +0.00000000000E+000
+3.24024600000E+009, -7.75345107181E+001, +0.00000000000E+000
+3.33024450000E+009, -8.62345959938E+001, +0.00000000000E+000
+3.42024300000E+009, -8.60723450645E+001, +0.00000000000E+000
+3.51024150000E+009, -8.75731950995E+001, +0.00000000000E+000
+3.60024000000E+009, -9.38548051177E+001, +0.00000000000E+000
+3.69023850000E+009, -8.92918799088E+001, +0.00000000000E+000
+3.78023700000E+009, -9.20626488575E+001, +0.00000000000E+000
+3.87023550000E+009, -8.05306023363E+001, +0.00000000000E+000
+3.96023400000E+009, -8.78281227279E+001, +0.00000000000E+000
+4.05023250000E+009, -9.43201531279E+001, +0.00000000000E+000
+4.14023100000E+009, -7.90331367418E+001, +0.00000000000E+000
+4.23022950000E+009, -8.70856278654E+001, +0.00000000000E+000
+4.32022800000E+009, -8.44433364361E+001, +0.00000000000E+000
+4.41022650000E+009, -8.27322662430E+001, +0.00000000000E+000
+4.50022500000E+009, -8.52920567372E+001, +0.00000000000E+000
+4.59022350000E+009, -8.52846425698E+001, +0.00000000000E+000
+4.68022200000E+009, -8.97301642646E+001, +0.00000000000E+000
+4.77022050000E+009, -8.67406275910E+001, +0.00000000000E+000
+4.86021900000E+009, -8.39498272134E+001, +0.00000000000E+000
+4.95021750000E+009, -8.09347507991E+001, +0.00000000000E+000
+5.04021600000E+009, -8.92327771530E+001, +0.00000000000E+000
+5.13021450000E+009, -9.58588130220E+001, +0.00000000000E+000
+5.22021300000E+009, -9.46431851880E+001, +0.00000000000E+000
+5.31021150000E+009, -8.09689620691E+001, +0.00000000000E+000
+5.40021000000E+009, -8.69268629955E+001, +0.00000000000E+000
+5.49020850000E+009, -8.84639387366E+001, +0.00000000000E+000
+5.58020700000E+009, -9.03126577982E+001, +0.00000000000E+000
+5.67020550000E+009, -9.07194836447E+001, +0.00000000000E+000
+5.76020400000E+009, -8.86396656385E+001, +0.00000000000E+000
+5.85020250000E+009, -8.69027526357E+001, +0.00000000000E+000
+5.94020100000E+009, -8.30337659188E+001, +0.00000000000E+000
+6.03019950000E+009, -8.04107648346E+001, +0.00000000000E+000
+6.12019800000E+009, -8.04052710574E+001, +0.00000000000E+000
+6.21019650000E+009, -8.14653243936E+001, +0.00000000000E+000
+6.30019500000E+009, -8.00061650112E+001, +0.00000000000E+000
+6.39019350000E+009, -8.00157318826E+001, +0.00000000000E+000
+6.48019200000E+009, -7.78587226814E+001, +0.00000000000E+000
+6.57019050000E+009, -8.03554781325E+001, +0.00000000000E+000
+6.66018900000E+009, -8.22631482990E+001, +0.00000000000E+000
+6.75018750000E+009, -8.03742079690E+001, +0.00000000000E+000
