"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +3.23736666964E-001, +0.00000000000E+000
+9.02985000000E+007, +4.36817238045E-003, +0.00000000000E+000
+1.80297000000E+008, -1.85018592308E-001, +0.00000000000E+000
+2.70295500000E+008, -3.17258593510E-001, +0.00000000000E+000
+3.60294000000E+008, -4.06253232752E-001, +0.00000000000E+000
+4.50292500000E+008, -4.94247618682E-001, +0.00000000000E+000
+5.40291000000E+008, -5.85132090456E-001, +0.00000000000E+000
+6.30289500000E+008, -6.27740565000E-001, +0.00000000000E+000
+7.20288000000E+008, -6.44713239789E-001, +0.00000000000E+000
+8.10286500000E+008, -7.12163405547E-001, +0.00000000000E+000
+9.00285000000E+008, -8.80211268110E-001, +0.00000000000E+000
+9.90283500000E+008, -1.05699839463E+000, +0.00000000000E+000
+1.08028200000E+009, -1.12266849459E+000, +0.00000000000E+000
+1.17028050000E+009, -1.15519129014E+000, +0.00000000000E+000
+1.26027900000E+009, -1.24155026944E+000, +0.00000000000E+000
+1.35027750000E+009, -1.38237180264E+000, +0.00000000000E+000
+1.44027600000E+009, -1.49067277059E+000, +0.00000000000E+000
+1.53027450000E+009, -1.53217855074E+000, +0.00000000000E+000
+1.62027300000E+009, -1.58538646487E+000, +0.00000000000E+000
+1.71027150000E+009, -1.72210986254E+000, +0.00000000000E+000
+1.80027000000E+009, -1.89953220587E+000, +0.00000000000E+000
+1.89026850000E+009, -2.05304890616E+000, +0.00000000000E+000
+1.98026700000E+009, -2.15060445107E+000, +0.00000000000E+000
+2.07026550000E+009, -2.22682089385E+000, +0.00000000000E+000
+2.16026400000E+009, -2.36148817244E+000, +0.00000000000E+000
+2.25026250000E+009, -2.53397381672E+000, +0.00000000000E+000
+2.34026100000E+009, -2.73523282480E+000, +0.00000000000E+000
+2.43025950000E+009, -2.89699837034E+000, +0.00000000000E+000
+2.52025800000E+009, -3.01059801126E+000, +0.00000000000E+000
+2.61025650000E+009, -3.07460582121E+000, +0.00000000000E+000
+2.70025500000E+009, -3.29856398050E+000, +0.00000000000E+000
+2.79025350000E+009, -3.51426061570E+000, +0.00000000000E+000
+2.88025200000E+009, -3.61622513776E+000, +0.00000000000E+000
+2.97025050000E+009, -3.63477756252E+000, +0.00000000000E+000
+3.06024900000E+009, -3.67406498605E+000, +0.00000000000E+000
+3.15024750000E+009, -3.99510001135E+000, +0.00000000000E+000
+3.24024600000E+009, -4.36129733554E+000, +0.00000000000E+000
+3.33024450000E+009, -4.52329137673E+000, +0.00000000000E+000
+3.42024300000E+009, -4.38497693890E+000, +0.00000000000E+000
+3.51024150000E+009, -4.34840482038E+000, +0.00000000000E+000
+3.60024000000E+009, -4.50396401174E+000, +0.00000000000E+000
+3.69023850000E+009, -4.62070970102E+000, +0.00000000000E+000
+3.78023700000E+009, -4.57719942422E+000, +0.00000000000E+000
+3.87023550000E+009, -4.59792009400E+000, +0.00000000000E+000
+3.96023400000E+009, -4.70446244307E+000, +0.00000000000E+000
+4.05023250000E+009, -5.10185911351E+000, +0.00000000000E+000
+4.14023100000E+009, -5.11974815078E+000, +0.00000000000E+000
+4.23022950000E+009, -4.71123560842E+000, +0.00000000000E+000
+4.32022800000E+009, -4.51674148795E+000, +0.00000000000E+000
+4.41022650000E+009, -4.52252516540E+000, +0.00000000000E+000
+4.50022500000E+009, -4.78382652434E+000, +0.00000000000E+000
+4.59022350000E+009, -4.94795556877E+000, +0.00000000000E+000
+4.68022200000E+009, -4.76184822513E+000, +0.00000000000E+000
+4.77022050000E+009, -4.89498404251E+000, +0.00000000000E+000
+4.86021900000E+009, -5.04934556654E+000, +0.00000000000E+000
+4.95021750000E+009, -5.18656084162E+000, +0.00000000000E+000
+5.04021600000E+009, -5.15251920569E+000, +0.00000000000E+000
+5.13021450000E+009, -4.62745571295E+000, +0.00000000000E+000
+5.22021300000E+009, -4.58775078467E+000, +0.00000000000E+000
+5.31021150000E+009, -4.75285876467E+000, +0.00000000000E+000
+5.40021000000E+009, -4.84302144156E+000, +0.00000000000E+000
+5.49020850000E+009, -4.74668389925E+000, +0.00000000000E+000
+5.58020700000E+009, -4.58171444637E+000, +0.00000000000E+000
+5.67020550000E+009, -4.62636188552E+000, +0.00000000000E+000
+5.76020400000E+009, -4.75466171289E+000, +0.00000000000E+000
+5.85020250000E+009, -4.54091665510E+000, +0.00000000000E+000
+5.94020100000E+009, -4.54115762226E+000, +0.00000000000E+000
+6.03019950000E+009, -3.88265303961E+000, +0.00000000000E+000
+6.12019800000E+009, -3.85133169740E+000, +0.00000000000E+000
+6.21019650000E+009, -4.11937980872E+000, +0.00000000000E+000
+6.30019500000E+009, -4.24026502124E+000, +0.00000000000E+000
+6.39019350000E+009, -4.32377616542E+000, +0.00000000000E+000
+6.48019200000E+009, -4.49024300848E+000, +0.00000000000E+000
+6.57019050000E+009, -4.47773557847E+000, +0.00000000000E+000
