Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Ensemble_Mean_Normalized_S21_dB,Ensemble_SD_dB,N_Horns
E,6,5.8,6.8,0,0.0,0.0,8
E,6,5.8,6.8,10,-2.38231237047,0.3955088951593789,8
E,6,5.8,6.8,20,-8.57617143087083,1.0415878525176194,8
E,6,5.8,6.8,30,-16.169401824537495,1.2877180816555598,8
E,6,5.8,6.8,40,-18.266036089390838,0.7505015009689253,8
E,6,5.8,6.8,50,-20.154592874087502,0.7869061529145773,8
E,6,5.8,6.8,60,-23.746857672711663,0.9422011557820991,8
E,6,5.8,6.8,70,-25.40762871319,1.0576848793551183,8
E,6,5.8,6.8,80,-25.72186261903166,1.4557287147119151,8
E,6,5.8,6.8,90,-27.11700399490333,2.7569471786096376,8
E,6,5.8,6.8,100,-26.851820455710836,1.5381337460382116,8
E,6,5.8,6.8,110,-26.99618780783583,4.322903051140784,8
E,6,5.8,6.8,120,-22.059705501306667,4.70746985453878,8
E,6,5.8,6.8,130,-26.108997432398326,2.422191303750303,8
E,6,5.8,6.8,140,-22.095523573123323,3.9914432601292487,8
E,6,5.8,6.8,150,-22.51265271367916,4.696282346490806,8
E,6,5.8,6.8,160,-25.382551891875003,3.522786027141411,8
E,6,5.8,6.8,170,-27.912276529529997,1.6728702286368637,8
E,6,5.8,6.8,180,-24.439206482099998,1.5046390682290254,8
E,7,6.8,7.8,0,0.0,0.0,8
E,7,6.8,7.8,10,-3.0787384926523425,0.6045905435441457,8
E,7,6.8,7.8,20,-10.119983297095317,0.917595292342116,8
E,7,6.8,7.8,30,-13.159569344479685,0.5120043622446241,8
E,7,6.8,7.8,40,-14.58078922010781,0.7304511444862173,8
E,7,6.8,7.8,50,-22.14445846936406,1.1351977171834118,8
E,7,6.8,7.8,60,-23.699793691462496,1.502146965431633,8
E,7,6.8,7.8,70,-23.111137730207815,0.961370302356624,8
E,7,6.8,7.8,80,-23.78099380047578,0.9449789884960713,8
E,7,6.8,7.8,90,-24.86788822964844,1.8046440181407648,8
E,7,6.8,7.8,100,-23.77254305805547,3.5092172001293864,8
E,7,6.8,7.8,110,-24.727864949398434,4.40251198467288,8
E,7,6.8,7.8,120,-21.24917788472031,3.5422836671962488,8
E,7,6.8,7.8,130,-24.11175042682422,3.540637766951108,8
E,7,6.8,7.8,140,-22.925563844057034,4.505223463475632,8
E,7,6.8,7.8,150,-24.72651687937344,4.198710700320564,8
E,7,6.8,7.8,160,-26.257295122572657,2.525456131187086,8
E,7,6.8,7.8,170,-25.776308656284375,2.047930440488207,8
E,7,6.8,7.8,180,-23.445405668850782,2.155163723708439,8
E,8,7.8,8.8,0,0.0,0.0,8
E,8,7.8,8.8,10,-2.9520688180108365,0.9681750427053589,8
E,8,7.8,8.8,20,-9.527545380260003,1.369777028387839,8
E,8,7.8,8.8,30,-13.270120296495003,1.1744821009778583,8
E,8,7.8,8.8,40,-16.14797276021666,2.0435134062275844,8
E,8,7.8,8.8,50,-19.725810147024166,1.8774618157257281,8
E,8,7.8,8.8,60,-18.628211749432502,1.901560015922848,8
E,8,7.8,8.8,70,-18.011306571074996,2.867934411257659,8
E,8,7.8,8.8,80,-17.992285460424156,2.1644688391433022,8
E,8,7.8,8.8,90,-19.22864332599501,1.776048588366587,8
E,8,7.8,8.8,100,-17.160647914369996,2.681942039555601,8
E,8,7.8,8.8,110,-17.458727420056668,3.823628546349666,8
E,8,7.8,8.8,120,-17.151485731845003,2.6961252368399906,8
E,8,7.8,8.8,130,-17.466053138479996,4.444204902047951,8
E,8,7.8,8.8,140,-17.201320049337497,3.3557123209679474,8
E,8,7.8,8.8,150,-19.511967781217493,3.058050850473296,8
E,8,7.8,8.8,160,-20.476849706155825,3.0778786388790444,8
E,8,7.8,8.8,170,-20.462595285569996,3.2161360167968236,8
E,8,7.8,8.8,180,-20.1324268389725,2.404015151751097,8
E,9,8.8,9.8,0,0.0,0.0,8
E,9,8.8,9.8,10,-4.5089593929450045,0.6997214479784313,8
E,9,8.8,9.8,20,-9.995655023764169,1.3541657959728013,8
E,9,8.8,9.8,30,-16.71024108442334,1.4446531874821413,8
E,9,8.8,9.8,40,-18.566990196976672,2.003923890862595,8
E,9,8.8,9.8,50,-18.504684653368344,2.2649715940262087,8
E,9,8.8,9.8,60,-19.88200098157167,3.6104529993413137,8
E,9,8.8,9.8,70,-17.486454990937506,2.994358736500723,8
E,9,8.8,9.8,80,-17.032946160598335,1.7260444403166195,8
E,9,8.8,9.8,90,-16.674755694604162,2.991494628896002,8
E,9,8.8,9.8,100,-15.643874033867512,3.238897360916197,8
E,9,8.8,9.8,110,-15.395359930426672,3.2315486710672543,8
E,9,8.8,9.8,120,-16.913346561905843,3.115717711538657,8
E,9,8.8,9.8,130,-15.616359337250007,3.251167439243081,8
E,9,8.8,9.8,140,-17.37900970772334,2.4306907437036953,8
E,9,8.8,9.8,150,-18.597271228380002,3.2346631059678366,8
E,9,8.8,9.8,160,-19.33958799865417,3.213859563774542,8
E,9,8.8,9.8,170,-19.259770947371663,3.429273451498977,8
E,9,8.8,9.8,180,-18.295658524930836,2.6805803279930327,8
E,10,9.8,10.8,0,0.0,0.0,8
E,10,9.8,10.8,10,-4.066196187357813,0.7022905360487057,8
E,10,9.8,10.8,20,-8.984739226393753,0.5797305919181936,8
E,10,9.8,10.8,30,-15.082947148700004,1.2431719630806304,8
E,10,9.8,10.8,40,-19.706581555742968,1.2687380940155406,8
E,10,9.8,10.8,50,-19.83959720980703,2.0458708648403583,8
E,10,9.8,10.8,60,-23.049146687744532,1.728137544977165,8
E,10,9.8,10.8,70,-21.210054465234375,2.3921244877603636,8
E,10,9.8,10.8,80,-21.290455117765624,2.3790658146264656,8
E,10,9.8,10.8,90,-20.90057866196563,1.8963049551261086,8
E,10,9.8,10.8,100,-21.753606469351563,2.520444664046488,8
E,10,9.8,10.8,110,-21.80101322444922,1.9127211001465794,8
E,10,9.8,10.8,120,-20.804206778232036,2.198452367097319,8
E,10,9.8,10.8,130,-19.95412184981172,2.5953425905301155,8
E,10,9.8,10.8,140,-20.091613674246098,2.2812006506467775,8
E,10,9.8,10.8,150,-21.39920255953594,1.5617460743870324,8
E,10,9.8,10.8,160,-22.62556924180625,2.4313859787389167,8
E,10,9.8,10.8,170,-23.64129929231016,2.8757147021015106,8
E,10,9.8,10.8,180,-21.789932203632816,1.5886029682618072,8
E,11,10.8,11.8,0,0.0,0.0,8
E,11,10.8,11.8,10,-3.6869181367908332,0.6292790625278186,8
E,11,10.8,11.8,20,-7.209762816417502,0.8017850820051965,8
E,11,10.8,11.8,30,-14.325269954245005,0.7545873643906135,8
E,11,10.8,11.8,40,-17.053870753230836,1.4292875402610483,8
E,11,10.8,11.8,50,-18.94327947275,1.382233621350268,8
E,11,10.8,11.8,60,-19.987319628848333,2.2380607661270533,8
E,11,10.8,11.8,70,-18.760535249100833,1.417724642234437,8
E,11,10.8,11.8,80,-17.4973336235725,1.4197299379311685,8
E,11,10.8,11.8,90,-18.991382068295838,1.069405983855047,8
E,11,10.8,11.8,100,-20.042953304185833,2.294919864858839,8
E,11,10.8,11.8,110,-20.799648028747495,2.5679744933511426,8
E,11,10.8,11.8,120,-20.632255867584163,2.200179025373887,8
E,11,10.8,11.8,130,-20.396571550377494,1.5899307106632588,8
E,11,10.8,11.8,140,-21.004648246474165,2.2825046414065544,8
E,11,10.8,11.8,150,-21.283315523273338,2.2962652744053242,8
E,11,10.8,11.8,160,-22.31643894090334,1.8556527778522585,8
E,11,10.8,11.8,170,-21.85636212436834,2.6259900560822,8
E,11,10.8,11.8,180,-21.36749538776666,1.9311828177478152,8
E,12,11.8,12.8,0,0.0,0.0,8
E,12,11.8,12.8,10,-3.2912098307125017,0.599365602048744,8
E,12,11.8,12.8,20,-7.328302573753335,0.8829464922373866,8
E,12,11.8,12.8,30,-12.160824410481668,0.8136453482236291,8
E,12,11.8,12.8,40,-16.959183824132495,0.9704575175270737,8
E,12,11.8,12.8,50,-20.130588678260843,1.210644430960666,8
E,12,11.8,12.8,60,-19.632597727535,1.4337935063289142,8
E,12,11.8,12.8,70,-19.285296586227496,1.6591680575417536,8
E,12,11.8,12.8,80,-17.926715502820834,1.0816122379434105,8
E,12,11.8,12.8,90,-20.096946265575834,0.9331612580239261,8
E,12,11.8,12.8,100,-20.554722139104165,1.4505478297679602,8
E,12,11.8,12.8,110,-20.95210174260334,1.9119868122726027,8
E,12,11.8,12.8,120,-21.824817028425002,1.8260975385959333,8
E,12,11.8,12.8,130,-21.86054889860084,1.5193986057195603,8
E,12,11.8,12.8,140,-22.879224172243333,1.9862836845775746,8
