Horn,Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Raw_Band_Mean_S21_dB,Boresight_Band_Mean_S21_dB,Normalized_S21_dB,N_Frequency_Samples
HORN1,E,6,5.8,6.8,0,-51.16958816074,-51.16958816074,0.0,15
HORN1,E,6,5.8,6.8,10,-54.57356146312667,-51.16958816074,-3.4039733023866745,15
HORN1,E,6,5.8,6.8,20,-62.26001762756666,-51.16958816074,-11.090429466826663,15
HORN1,E,6,5.8,6.8,30,-70.45675828092666,-51.16958816074,-19.287170120186666,15
HORN1,E,6,5.8,6.8,40,-70.48559274157333,-51.16958816074,-19.31600458083333,15
HORN1,E,6,5.8,6.8,50,-72.83929887876,-51.16958816074,-21.669710718020006,15
HORN1,E,6,5.8,6.8,60,-75.38955011277334,-51.16958816074,-24.219961952033337,15
HORN1,E,6,5.8,6.8,70,-77.85861535955999,-51.16958816074,-26.689027198819993,15
HORN1,E,6,5.8,6.8,80,-79.75524823544667,-51.16958816074,-28.585660074706674,15
HORN1,E,6,5.8,6.8,90,-81.17855835045334,-51.16958816074,-30.008970189713345,15
HORN1,E,6,5.8,6.8,100,-79.98062387462667,-51.16958816074,-28.811035713886675,15
HORN1,E,6,5.8,6.8,110,-79.81283479228665,-51.16958816074,-28.643246631546653,15
HORN1,E,6,5.8,6.8,120,-84.15232324658668,-51.16958816074,-32.98273508584668,15
HORN1,E,6,5.8,6.8,130,-81.82094905190667,-51.16958816074,-30.651360891166668,15
HORN1,E,6,5.8,6.8,140,-79.81779916222,-51.16958816074,-28.64821100148,15
HORN1,E,6,5.8,6.8,150,-79.71006911958666,-51.16958816074,-28.540480958846665,15
HORN1,E,6,5.8,6.8,160,-81.89586934155334,-51.16958816074,-30.726281180813338,15
HORN1,E,6,5.8,6.8,170,-80.19188390615999,-51.16958816074,-29.02229574541999,15
HORN1,E,6,5.8,6.8,180,-76.17687003056668,-51.16958816074,-25.007281869826677,15
HORN2,E,6,5.8,6.8,0,-56.80987804118668,-56.80987804118668,0.0,15
HORN2,E,6,5.8,6.8,10,-59.022017779,-56.80987804118668,-2.212139737813324,15
HORN2,E,6,5.8,6.8,20,-65.02217415706,-56.80987804118668,-8.212296115873315,15
HORN2,E,6,5.8,6.8,30,-72.680872551,-56.80987804118668,-15.870994509813315,15
HORN2,E,6,5.8,6.8,40,-74.59703554046668,-56.80987804118668,-17.78715749928,15
HORN2,E,6,5.8,6.8,50,-77.36571385004666,-56.80987804118668,-20.55583580885998,15
HORN2,E,6,5.8,6.8,60,-80.20838216386,-56.80987804118668,-23.398504122673316,15
HORN2,E,6,5.8,6.8,70,-83.14095232594666,-56.80987804118668,-26.33107428475998,15
HORN2,E,6,5.8,6.8,80,-82.78861201975998,-56.80987804118668,-25.978733978573302,15
HORN2,E,6,5.8,6.8,90,-84.20670823463334,-56.80987804118668,-27.39683019344666,15
HORN2,E,6,5.8,6.8,100,-82.87888102638665,-56.80987804118668,-26.069002985199972,15
HORN2,E,6,5.8,6.8,110,-74.92397350533334,-56.80987804118668,-18.114095464146658,15
HORN2,E,6,5.8,6.8,120,-75.64622507752001,-56.80987804118668,-18.836347036333336,15
HORN2,E,6,5.8,6.8,130,-79.86743100416668,-56.80987804118668,-23.057552962979997,15
HORN2,E,6,5.8,6.8,140,-76.72573725450665,-56.80987804118668,-19.915859213319976,15
HORN2,E,6,5.8,6.8,150,-84.34207830116665,-56.80987804118668,-27.532200259979973,15
HORN2,E,6,5.8,6.8,160,-85.13915108927999,-56.80987804118668,-28.329273048093313,15
HORN2,E,6,5.8,6.8,170,-84.51861678955333,-56.80987804118668,-27.708738748366656,15
HORN2,E,6,5.8,6.8,180,-80.00043236366001,-56.80987804118668,-23.190554322473332,15
HORN3,E,6,5.8,6.8,0,-56.57505298307333,-56.57505298307333,0.0,15
HORN3,E,6,5.8,6.8,10,-58.80358559987334,-56.57505298307333,-2.2285326168000097,15
HORN3,E,6,5.8,6.8,20,-65.16758533005333,-56.57505298307333,-8.59253234698,15
HORN3,E,6,5.8,6.8,30,-72.92912566386666,-56.57505298307333,-16.35407268079333,15
HORN3,E,6,5.8,6.8,40,-75.61471194768,-56.57505298307333,-19.039658964606666,15
HORN3,E,6,5.8,6.8,50,-76.88620126778,-56.57505298307333,-20.311148284706668,15
HORN3,E,6,5.8,6.8,60,-80.25300280914001,-56.57505298307333,-23.677949826066687,15
HORN3,E,6,5.8,6.8,70,-81.47068155486667,-56.57505298307333,-24.895628571793345,15
HORN3,E,6,5.8,6.8,80,-83.11412693348666,-56.57505298307333,-26.539073950413332,15
HORN3,E,6,5.8,6.8,90,-86.71406735332667,-56.57505298307333,-30.139014370253342,15
HORN3,E,6,5.8,6.8,100,-84.95708470015333,-56.57505298307333,-28.382031717080004,15
HORN3,E,6,5.8,6.8,110,-85.53175639991333,-56.57505298307333,-28.956703416840007,15
HORN3,E,6,5.8,6.8,120,-79.54881906372002,-56.57505298307333,-22.97376608064669,15
HORN3,E,6,5.8,6.8,130,-82.66271408749334,-56.57505298307333,-26.087661104420015,15
HORN3,E,6,5.8,6.8,140,-84.25030055421333,-56.57505298307333,-27.675247571139998,15
HORN3,E,6,5.8,6.8,150,-82.33355763930668,-56.57505298307333,-25.75850465623335,15
HORN3,E,6,5.8,6.8,160,-82.56215461115333,-56.57505298307333,-25.987101628080005,15
HORN3,E,6,5.8,6.8,170,-83.87264900577999,-56.57505298307333,-27.297596022706664,15
HORN3,E,6,5.8,6.8,180,-81.00340383446665,-56.57505298307333,-24.428350851393326,15
HORN4,E,6,5.8,6.8,0,-58.90069644342667,-58.90069644342667,0.0,15
HORN4,E,6,5.8,6.8,10,-61.01054995706,-58.90069644342667,-2.1098535136333325,15
HORN4,E,6,5.8,6.8,20,-67.40929481275333,-58.90069644342667,-8.508598369326663,15
HORN4,E,6,5.8,6.8,30,-74.59838717356666,-58.90069644342667,-15.697690730139996,15
HORN4,E,6,5.8,6.8,40,-77.91404266206,-58.90069644342667,-19.01334621863333,15
HORN4,E,6,5.8,6.8,50,-78.20430243771334,-58.90069644342667,-19.30360599428667,15
HORN4,E,6,5.8,6.8,60,-82.83917571498667,-58.90069644342667,-23.93847927156,15
HORN4,E,6,5.8,6.8,70,-84.22246818986667,-58.90069644342667,-25.321771746440007,15
HORN4,E,6,5.8,6.8,80,-84.15469428579999,-58.90069644342667,-25.253997842373323,15
HORN4,E,6,5.8,6.8,90,-89.62915499644,-58.90069644342667,-30.728458553013326,15
HORN4,E,6,5.8,6.8,100,-86.97772897917335,-58.90069644342667,-28.07703253574668,15
HORN4,E,6,5.8,6.8,110,-89.86315367769333,-58.90069644342667,-30.962457234266665,15
HORN4,E,6,5.8,6.8,120,-80.42020198995998,-58.90069644342667,-21.51950554653331,15
HORN4,E,6,5.8,6.8,130,-85.58398739783333,-58.90069644342667,-26.683290954406658,15
HORN4,E,6,5.8,6.8,140,-78.71668337448666,-58.90069644342667,-19.815986931059996,15
HORN4,E,6,5.8,6.8,150,-79.43300086274667,-58.90069644342667,-20.53230441932,15
HORN4,E,6,5.8,6.8,160,-84.90753000165334,-58.90069644342667,-26.006833558226674,15
HORN4,E,6,5.8,6.8,170,-89.43598196764668,-58.90069644342667,-30.535285524220015,15
HORN4,E,6,5.8,6.8,180,-83.27547824256,-58.90069644342667,-24.37478179913333,15
HORN5,E,6,5.8,6.8,0,-58.75782533382668,-58.75782533382668,0.0,15
HORN5,E,6,5.8,6.8,10,-60.999163472226655,-58.75782533382668,-2.241338138399975,15
HORN5,E,6,5.8,6.8,20,-67.52378932802667,-58.75782533382668,-8.765963994199986,15
HORN5,E,6,5.8,6.8,30,-74.97595324688668,-58.75782533382668,-16.218127913059995,15
HORN5,E,6,5.8,6.8,40,-76.76070733707334,-58.75782533382668,-18.00288200324666,15
HORN5,E,6,5.8,6.8,50,-78.00639803298668,-58.75782533382668,-19.24857269916,15
HORN5,E,6,5.8,6.8,60,-84.57556873733331,-58.75782533382668,-25.817743403506633,15
HORN5,E,6,5.8,6.8,70,-85.10323641798,-58.75782533382668,-26.34541108415332,15
HORN5,E,6,5.8,6.8,80,-84.95000559256668,-58.75782533382668,-26.192180258740002,15
HORN5,E,6,5.8,6.8,90,-85.40845684821333,-58.75782533382668,-26.650631514386653,15
HORN5,E,6,5.8,6.8,100,-82.88595919645334,-58.75782533382668,-24.12813386262666,15
HORN5,E,6,5.8,6.8,110,-80.52770484714001,-58.75782533382668,-21.769879513313334,15
HORN5,E,6,5.8,6.8,120,-80.65320220232,-58.75782533382668,-21.895376868493322,15
HORN5,E,6,5.8,6.8,130,-87.44553165525332,-58.75782533382668,-28.68770632142664,15
HORN5,E,6,5.8,6.8,140,-83.52794125045332,-58.75782533382668,-24.770115916626644,15
HORN5,E,6,5.8,6.8,150,-81.55233785453332,-58.75782533382668,-22.79451252070664,15
HORN5,E,6,5.8,6.8,160,-85.04422385510001,-58.75782533382668,-26.286398521273334,15
HORN5,E,6,5.8,6.8,170,-88.71770019883333,-58.75782533382668,-29.959874865006647,15
HORN5,E,6,5.8,6.8,180,-83.97289404445334,-58.75782533382668,-25.21506871062666,15
HORN6,E,6,5.8,6.8,0,-62.39516620682666,-62.39516620682666,0.0,15
HORN6,E,6,5.8,6.8,10,-64.7049653161,-62.39516620682666,-2.3097991092733423,15
