Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Ensemble_Mean_Normalized_S21_dB,Ensemble_SD_dB,N_Horns
H,6,5.8,6.8,0,0.0,0.0,8
H,6,5.8,6.8,10,-0.44843826690666244,0.17744870839416618,8
H,6,5.8,6.8,20,-1.5258191351616635,0.48444562254793383,8
H,6,5.8,6.8,30,-3.1707696003341637,0.4475083516162475,8
H,6,5.8,6.8,40,-5.114756521039164,0.24602648355284848,8
H,6,5.8,6.8,50,-7.604329094989164,0.3606808353697198,8
H,6,5.8,6.8,60,-10.082124988449163,0.3112609787745033,8
H,6,5.8,6.8,70,-13.01191638993499,0.8910405526152114,8
H,6,5.8,6.8,80,-15.562023626332495,0.8874885357954707,8
H,6,5.8,6.8,90,-17.53032757548833,1.1925093172563288,8
H,6,5.8,6.8,100,-20.14280696957333,1.2479576934981882,8
H,6,5.8,6.8,110,-22.779355699385825,1.5137741069992696,8
H,6,5.8,6.8,120,-24.187424722418328,2.115093316925529,8
H,6,5.8,6.8,130,-24.638655671407488,1.6128102072898018,8
H,6,5.8,6.8,140,-24.044752091139994,1.9023218610162143,8
H,6,5.8,6.8,150,-24.513739172825836,2.0920618894409695,8
H,6,5.8,6.8,160,-25.029712138369163,2.7107074249040632,8
H,6,5.8,6.8,170,-25.556030202208337,1.924990701122113,8
H,6,5.8,6.8,180,-24.8668688962425,1.9227036610131463,8
H,7,6.8,7.8,0,0.0,0.0,8
H,7,6.8,7.8,10,-0.32585447765937037,0.13428643494708198,8
H,7,6.8,7.8,20,-1.1700293839570302,0.27878423291581683,8
H,7,6.8,7.8,30,-2.948299665521094,0.35455618717069665,8
H,7,6.8,7.8,40,-5.343371662919529,0.33797589526449334,8
H,7,6.8,7.8,50,-7.630409549767183,0.4710658695781582,8
H,7,6.8,7.8,60,-10.45164615321797,0.846540409748792,8
H,7,6.8,7.8,70,-13.331081546646093,0.8766880137125814,8
H,7,6.8,7.8,80,-14.967359608478118,1.4594275981972369,8
H,7,6.8,7.8,90,-18.42004915731406,1.36747870723729,8
H,7,6.8,7.8,100,-20.36854111591484,1.6332097202611429,8
H,7,6.8,7.8,110,-19.959962930034376,1.6819126535697246,8
H,7,6.8,7.8,120,-22.26814549768047,1.3302577500555013,8
H,7,6.8,7.8,130,-22.39838819214843,2.535390246139861,8
H,7,6.8,7.8,140,-22.638239621268745,1.778468315869772,8
H,7,6.8,7.8,150,-22.704375926892187,1.2323561079195393,8
H,7,6.8,7.8,160,-22.056804775695312,2.546908656176212,8
H,7,6.8,7.8,170,-23.993371784182024,2.2626566555934384,8
H,7,6.8,7.8,180,-25.11440337448828,2.2515976612959685,8
H,8,7.8,8.8,0,0.0,0.0,8
H,8,7.8,8.8,10,-0.1699032429483287,0.4529433113480169,8
H,8,7.8,8.8,20,-1.0285049822066679,0.7068440362812949,8
H,8,7.8,8.8,30,-3.571324692880829,0.5642851318095302,8
H,8,7.8,8.8,40,-5.729262671068326,0.8490859094463398,8
H,8,7.8,8.8,50,-9.611316728843327,1.4653933950399582,8
H,8,7.8,8.8,60,-11.318577835490828,1.7259884711465059,8
H,8,7.8,8.8,70,-13.416279149348334,1.2027338603234288,8
H,8,7.8,8.8,80,-15.528239665233336,1.4947774119853432,8
H,8,7.8,8.8,90,-15.291626530604166,2.0991805700336506,8
H,8,7.8,8.8,100,-16.653128849265833,1.117256638419222,8
H,8,7.8,8.8,110,-16.192095032096667,2.5900058502575667,8
H,8,7.8,8.8,120,-17.135579680959985,2.730343670135763,8
H,8,7.8,8.8,130,-17.429821239410003,2.99866202577113,8
H,8,7.8,8.8,140,-16.77447825507082,3.2908967755604066,8
H,8,7.8,8.8,150,-15.90229274128416,2.9576301815212416,8
H,8,7.8,8.8,160,-17.422110931089993,3.3050275049453104,8
H,8,7.8,8.8,170,-17.35853325979583,3.2134369142957095,8
H,8,7.8,8.8,180,-18.649493129049162,3.09501843717033,8
H,9,8.8,9.8,0,0.0,0.0,8
H,9,8.8,9.8,10,-0.6049652627008353,0.22970997669256357,8
H,9,8.8,9.8,20,-1.6747813777649991,0.8163926331090549,8
H,9,8.8,9.8,30,-4.418748003632497,0.6748736481624154,8
H,9,8.8,9.8,40,-6.84995352987667,0.9930742943443674,8
H,9,8.8,9.8,50,-10.847297030621665,1.2836302678463154,8
H,9,8.8,9.8,60,-10.9731611113075,2.0137313279804596,8
H,9,8.8,9.8,70,-12.761350542795837,2.801393560951963,8
H,9,8.8,9.8,80,-12.33437287342834,2.1134389351302705,8
H,9,8.8,9.8,90,-13.823322495219998,2.0594764115685664,8
H,9,8.8,9.8,100,-15.036542143223333,2.1222247112234474,8
H,9,8.8,9.8,110,-16.092518476169168,2.887141030079213,8
H,9,8.8,9.8,120,-15.789439875570837,3.2375997692991687,8
H,9,8.8,9.8,130,-16.11359859099084,3.763790884773132,8
H,9,8.8,9.8,140,-16.43830473071,4.5354106613513645,8
H,9,8.8,9.8,150,-15.364392424875836,4.239769153416427,8
H,9,8.8,9.8,160,-17.299686576205005,3.548708968458345,8
H,9,8.8,9.8,170,-18.422724056278344,3.830775684358216,8
H,9,8.8,9.8,180,-19.00912902410667,3.157528414376883,8
H,10,9.8,10.8,0,0.0,0.0,8
H,10,9.8,10.8,10,-0.4810481626843748,0.22069541063198025,8
H,10,9.8,10.8,20,-1.9088424334179708,0.5609165116563771,8
H,10,9.8,10.8,30,-4.587861998,0.38863805975739785,8
H,10,9.8,10.8,40,-7.262452539179689,1.1865919955659519,8
H,10,9.8,10.8,50,-9.537007013848442,1.2350939851782865,8
H,10,9.8,10.8,60,-13.868878979982032,1.1707493129370299,8
H,10,9.8,10.8,70,-15.642481704681252,2.1520539160397134,8
H,10,9.8,10.8,80,-17.50331822262891,1.7074687831518631,8
H,10,9.8,10.8,90,-17.91905184389219,1.7914253909245288,8
H,10,9.8,10.8,100,-17.483654084888283,2.3064064565517985,8
H,10,9.8,10.8,110,-18.49675707977969,1.5118525633752486,8
H,10,9.8,10.8,120,-19.972552292008597,2.5306652501622655,8
H,10,9.8,10.8,130,-19.986650101293748,2.403149039022953,8
H,10,9.8,10.8,140,-20.126504470652346,2.425317868082734,8
H,10,9.8,10.8,150,-20.223459359807816,2.071513534901077,8
H,10,9.8,10.8,160,-20.48802495918672,2.7837645357067733,8
H,10,9.8,10.8,170,-21.751180153815625,2.3660370809341664,8
H,10,9.8,10.8,180,-21.438958069539062,2.7185749765268303,8
H,11,10.8,11.8,0,0.0,0.0,8
H,11,10.8,11.8,10,-0.2794526120875007,0.2528161683753246,8
H,11,10.8,11.8,20,-1.786415377362509,0.503832294912376,8
H,11,10.8,11.8,30,-3.9227388019000022,0.43965129893599264,8
H,11,10.8,11.8,40,-7.351476381064171,0.7476872739444559,8
H,11,10.8,11.8,50,-10.884320728925008,0.47331343400311426,8
H,11,10.8,11.8,60,-14.237426118474168,1.156277530430097,8
H,11,10.8,11.8,70,-16.06417826798,1.0489002258928513,8
H,11,10.8,11.8,80,-17.991522018409174,2.7421367716112273,8
H,11,10.8,11.8,90,-18.529731273094168,1.3083630692471568,8
H,11,10.8,11.8,100,-18.6159789185075,1.410463042912355,8
H,11,10.8,11.8,110,-17.602783950225838,1.5966550518693159,8
H,11,10.8,11.8,120,-17.25043233533834,2.0234128943014005,8
H,11,10.8,11.8,130,-18.468120113593336,1.4720384865249565,8
H,11,10.8,11.8,140,-17.798135741345835,1.4631210468277194,8
H,11,10.8,11.8,150,-19.243912905455836,1.7371390239888855,8
H,11,10.8,11.8,160,-19.37389898319001,1.8629060687152372,8
H,11,10.8,11.8,170,-19.646319041375843,1.728826130482993,8
H,11,10.8,11.8,180,-20.836169273286668,2.160150988882034,8
H,12,11.8,12.8,0,0.0,0.0,8
H,12,11.8,12.8,10,-0.22640620807667222,0.26708544178892907,8
H,12,11.8,12.8,20,-1.5108809086825081,0.36887299067540535,8
H,12,11.8,12.8,30,-4.45759911775584,0.5465680286058541,8
H,12,11.8,12.8,40,-7.85509623274917,0.5615722684103135,8
H,12,11.8,12.8,50,-11.784358129603337,1.0952485876902494,8
H,12,11.8,12.8,60,-14.935261391713336,0.9875487771196495,8
H,12,11.8,12.8,70,-17.29377506633167,1.1817756398604653,8
H,12,11.8,12.8,80,-17.30379492265334,1.246687343890627,8
H,12,11.8,12.8,90,-17.568031471370837,1.3932965128517913,8
H,12,11.8,12.8,100,-17.69839063637,1.9319424322783922,8
H,12,11.8,12.8,110,-17.427606605051672,1.8354017740864907,8
H,12,11.8,12.8,120,-18.056914198035013,1.1114561127394573,8
H,12,11.8,12.8,130,-17.932198619650006,2.115015706980951,8
H,12,11.8,12.8,140,-17.485365890030838,2.3004790099291594,8
