Horn,Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Raw_Band_Mean_S21_dB,Boresight_Band_Mean_S21_dB,Normalized_S21_dB,N_Frequency_Samples
HORN1,H,6,5.8,6.8,0,-50.91786038635333,-50.91786038635333,0.0,15
HORN1,H,6,5.8,6.8,10,-51.331072580379995,-50.91786038635333,-0.41321219402666287,15
HORN1,H,6,5.8,6.8,20,-52.35592967154,-50.91786038635333,-1.438069285186664,15
HORN1,H,6,5.8,6.8,30,-54.147618228173336,-50.91786038635333,-3.2297578418200033,15
HORN1,H,6,5.8,6.8,40,-56.24449786083999,-50.91786038635333,-5.32663747448666,15
HORN1,H,6,5.8,6.8,50,-58.89266978325332,-50.91786038635333,-7.974809396899985,15
HORN1,H,6,5.8,6.8,60,-61.115531765753325,-50.91786038635333,-10.197671379399992,15
HORN1,H,6,5.8,6.8,70,-63.943570785339986,-50.91786038635333,-13.025710398986654,15
HORN1,H,6,5.8,6.8,80,-67.54174604630667,-50.91786038635333,-16.623885659953338,15
HORN1,H,6,5.8,6.8,90,-70.09843140044667,-50.91786038635333,-19.18057101409334,15
HORN1,H,6,5.8,6.8,100,-73.19298698064667,-50.91786038635333,-22.275126594293333,15
HORN1,H,6,5.8,6.8,110,-76.2921155069133,-50.91786038635333,-25.374255120559972,15
HORN1,H,6,5.8,6.8,120,-76.75432607457999,-50.91786038635333,-25.83646568822666,15
HORN1,H,6,5.8,6.8,130,-75.85862711241333,-50.91786038635333,-24.940766726059998,15
HORN1,H,6,5.8,6.8,140,-76.77471555111333,-50.91786038635333,-25.85685516476,15
HORN1,H,6,5.8,6.8,150,-77.17313025686667,-50.91786038635333,-26.255269870513338,15
HORN1,H,6,5.8,6.8,160,-76.14023238860666,-50.91786038635333,-25.22237200225333,15
HORN1,H,6,5.8,6.8,170,-79.73578628758669,-50.91786038635333,-28.81792590123336,15
HORN1,H,6,5.8,6.8,180,-79.09126395829334,-50.91786038635333,-28.173403571940007,15
HORN2,H,6,5.8,6.8,0,-56.695571718333326,-56.695571718333326,0.0,15
HORN2,H,6,5.8,6.8,10,-57.04295052933334,-56.695571718333326,-0.3473788110000129,15
