Frequency_GHz,Angle_Deg,Sim_dB
10.0,0.0,-0.1433777653414836
10.0,0.5,-0.20183112513671375
10.0,1.0,-0.26011317788404753
10.0,1.5,-0.3740367449087003
10.0,2.0,-0.486968137613367
10.0,2.5,-0.6553199670546235
10.0,3.0,-0.8207224167877882
10.0,3.5,-0.9866029189449925
10.0,4.0,-1.2060416388534527
10.0,4.5,-1.371862323571392
10.0,5.0,-1.6455754509742349
10.0,5.5,-1.921470074400336
10.0,6.0,-2.135729412498897
10.0,6.5,-2.4134795544328007
10.0,7.0,-2.6828202071435996
10.0,7.5,-3.008798797006264
10.0,8.0,-3.2729894417461374
10.0,8.5,-3.6021537200028924
10.0,9.0,-3.8116284382278742
10.0,9.5,-4.186500550480442
10.0,10.0,-4.450823267646111
10.0,10.5,-4.713290130797255
10.0,11.0,-4.973847446830167
10.0,11.5,-5.232439845035895
10.0,12.0,-5.48901023543694
10.0,12.5,-5.685230255113762
10.0,13.0,-5.866366610966736
10.0,13.5,-6.058210322439336
10.0,14.0,-6.175867537515085
10.0,14.5,-6.26250711324376
10.0,15.0,-6.375724756365617
10.0,15.5,-6.444322330248575
10.0,16.0,-6.495043346313896
10.0,16.5,-6.543092533843524
10.0,17.0,-6.605885903114395
10.0,17.5,-6.627847877474274
10.0,18.0,-6.669739128163773
10.0,18.5,-6.727678989131999
10.0,19.0,-6.783932050192227
10.0,19.5,-6.875039434901879
10.0,20.0,-6.947457999053402
10.0,20.5,-7.054355714213763
10.0,21.0,-7.214884126859371
10.0,21.5,-7.317357140888955
10.0,22.0,-7.495207046412123
10.0,22.5,-7.616272681203842
10.0,23.0,-7.791056479821499
10.0,23.5,-8.01895902376464
10.0,24.0,-8.24472556104569
10.0,24.5,-8.492808019807914
10.0,25.0,-8.793751215229094
10.0,25.5,-9.09292119405162
10.0,26.0,-9.390248152665613
10.0,26.5,-9.685659040029378
10.0,27.0,-10.059162489302867
10.0,27.5,-10.431072425855731
10.0,28.0,-10.80130572350446
10.0,28.5,-11.250508406948633
10.0,29.0,-11.750563573577736
10.0,29.5,-12.063391301548755
10.0,30.0,-12.45604077749956
10.0,30.5,-13.032036128858046
10.0,31.0,-13.421844079991065
10.0,31.5,-13.810249292703656
10.0,32.0,-14.279237101117534
10.0,32.5,-14.664738635133965
10.0,33.0,-14.99843015229635
10.0,33.5,-15.330925171113098
