Frequency_GHz,Angle_Deg,Sim_dB
10.0,0.0,-27.403059741273523
10.0,0.5,-27.164192723450928
10.0,1.0,-27.164192723450928
10.0,1.5,-26.865029239926642
10.0,2.0,-26.624891273224133
10.0,2.5,-26.443803645218317
10.0,3.0,-26.202682839460465
10.0,3.5,-25.96116895406005
10.0,4.0,-25.778786854771447
10.0,4.5,-25.35353697957016
10.0,5.0,-25.17017504692956
10.0,5.5,-25.045870126998395
10.0,6.0,-24.677745799146276
10.0,6.5,-24.4933406527431
10.0,7.0,-24.18307994801397
10.0,7.5,-23.87195707604279
10.0,8.0,-23.74561747117887
10.0,8.5,-23.492282958001574
10.0,9.0,-23.23813947864751
10.0,9.5,-22.983257106263185
10.0,10.0,-22.727698219211064
10.0,10.5,-22.471518506310737
10.0,11.0,-22.273259098404623
10.0,11.5,-22.015897233156018
10.0,12.0,-21.816358489272826
10.0,12.5,-21.544956491151616
10.0,13.0,-21.34386398017476
10.0,13.5,-21.012266347982965
10.0,14.0,-20.867724193873535
10.0,14.5,-20.664813541105147
10.0,15.0,-20.38839600338717
10.0,15.5,-20.11091122036649
10.0,16.0,-19.832433520626196
10.0,16.5,-19.610120819862217
10.0,17.0,-19.32971182128267
10.0,17.5,-19.105279952035445
10.0,18.0,-18.82317740068616
10.0,18.5,-18.596853756966745
10.0,19.0,-18.369578896408033
10.0,19.5,-18.141400354386334
10.0,20.0,-17.912362721804598
10.0,20.5,-17.661477132957838
10.0,21.0,-17.43043935703627
10.0,21.5,-17.254097961928924
10.0,22.0,-16.99899524947303
10.0,22.5,-16.82037422321274
10.0,23.0,-16.640808622746775
10.0,23.5,-16.381785509426646
10.0,24.0,-16.121372351641348
10.0,24.5,-15.992888541399605
10.0,25.0,-15.72992705904317
10.0,25.5,-15.599060104484959
10.0,26.0,-15.333750760377882
10.0,26.5,-15.120577000289366
10.0,27.0,-14.986204332854136
10.0,27.5,-14.770281632220193
10.0,28.0,-14.552938877489126
10.0,28.5,-14.33422912676355
10.0,29.0,-14.11420313700529
10.0,29.5,-13.892909466585959
10.0,30.0,-13.75191424661385
10.0,30.5,-13.497946633420213
10.0,31.0,-13.272882433308173
10.0,31.5,-13.097445051650595
10.0,32.0,-12.920435879054743
10.0,32.5,-12.691753258725388
10.0,33.0,-12.512014689315361
10.0,33.5,-12.33083050157487
10.0,34.0,-12.065419146022624
10.0,34.5,-11.881335107676719
10.0,35.0,-11.661544203501961
10.0,35.5,-11.47446997189931
10.0,36.0,-11.334244437975435
10.0,36.5,-11.144453409227523
10.0,37.0,-10.917432570362884
10.0,37.5,-10.772127237962206
10.0,38.0,-10.578315221395243
10.0,38.5,-10.346180002987502
10.0,39.0,-10.19615722135481
10.0,39.5,-10.044553607968059
10.0,40.0,-9.807380920893216
10.0,40.5,-9.652658315875975
10.0,41.0,-9.457180683158878
10.0,41.5,-9.21499778095503
10.0,42.0,-9.01547151708671
10.0,42.5,-8.854310200291938
10.0,43.0,-8.650980117350635
10.0,43.5,-8.571142006461947
10.0,44.0,-8.364199156096173
10.0,44.5,-8.155307841749195
10.0,45.0,-8.028834709466032
10.0,45.5,-7.816192296502511
10.0,46.0,-7.686041084429316
10.0,46.5,-7.469817739081645
10.0,47.0,-7.336130766682555
10.0,47.5,-7.1565807192964
10.0,48.0,-7.0191302566758615
10.0,48.5,-6.880011978154865
10.0,49.0,-6.694091619828935
10.0,49.5,-6.551412123752762
10.0,50.0,-6.445280394996768
10.0,50.5,-6.299112036271836
10.0,51.0,-6.104938313991582
10.0,51.5,-6.039204523607825
10.0,52.0,-5.841084274495497
10.0,52.5,-5.724476276869968
10.0,53.0,-5.569986563148035
10.0,53.5,-5.449449645780408
10.0,54.0,-5.278386857700294
10.0,54.5,-5.153296565492763
10.0,55.0,-5.041082635947902
10.0,55.5,-4.896929138910117
10.0,56.0,-4.7657107067783
10.0,56.5,-4.632508086336973
10.0,57.0,-4.497350334386237
10.0,57.5,-4.360266357245266
10.0,58.0,-4.221284894088946
10.0,58.5,-4.111372923902547
10.0,59.0,-3.9682676814734705
10.0,59.5,-3.823352298093454
10.0,60.0,-3.7062621053087383
10.0,60.5,-3.609395060922271
10.0,61.0,-3.4355173740159124
10.0,61.5,-3.363575099262178
10.0,62.0,-3.2090367278154943
10.0,62.5,-3.133196634017345
10.0,63.0,-3.0021150467292195
10.0,63.5,-2.8685543979284667
10.0,64.0,-2.786249387910509
10.0,64.5,-2.6480660482762843
10.0,65.0,-2.561637950282737
10.0,65.5,-2.4732817910816998
10.0,66.0,-2.352504438866273
10.0,66.5,-2.2597173427658745
10.0,67.0,-2.1650607270754634
10.0,67.5,-2.068552456781454
10.0,68.0,-1.970210512781108
10.0,68.5,-1.8918055645807819
10.0,69.0,-1.7894211634908999
10.0,69.5,-1.6707962543180912
10.0,70.0,-1.6199651393245453
10.0,70.5,-1.531186817097499
10.0,71.0,-1.4397396466212733
10.0,71.5,-1.34564768134452
10.0,72.0,-1.2875485254658692
10.0,72.5,-1.2280475534604882
10.0,73.0,-1.1448126975835393
10.0,73.5,-1.081651861910899
10.0,74.0,-1.0335283234585617
10.0,74.5,-0.9414822040140045
10.0,75.0,-0.888284377144803
10.0,75.5,-0.8328810679791339
10.0,76.0,-0.775284097680796
10.0,76.5,-0.7155056660786379
10.0,77.0,-0.6535583395918607
10.0,77.5,-0.6022195598726405
10.0,78.0,-0.5476649875307835
10.0,78.5,-0.513261495216458
10.0,79.0,-0.46544382886168734
10.0,79.5,-0.4026308906060514
10.0,80.0,-0.3751755830851131
10.0,80.5,-0.34661357813860505
10.0,81.0,-0.2953236937408157
10.0,81.5,-0.2717967295241017
10.0,82.0,-0.23814478218782398
10.0,82.5,-0.2112828225941641
10.0,83.0,-0.1825315056734027
10.0,83.5,-0.15875126523396332
10.0,84.0,-0.13206898042638926
10.0,84.5,-0.11360116420335942
10.0,85.0,-0.10249198331616682
10.0,85.5,-0.08000501129636106
10.0,86.0,-0.059886805374421925
10.0,86.5,-0.05193270655043847
10.0,87.0,-0.030600919742791888
10.0,87.5,-0.030600919742791888
10.0,88.0,-0.030600919742791888
10.0,88.5,0.0
10.0,89.0,0.0
10.0,89.5,-0.005032861049784287
10.0,90.0,-0.005032861049784287
10.0,90.5,-0.005032861049784287
10.0,91.0,0.0
10.0,91.5,0.0
10.0,92.0,-0.030600919742791888
10.0,92.5,-0.030600919742791888
10.0,93.0,-0.030600919742791888
10.0,93.5,-0.05193270655043847
10.0,94.0,-0.059886805374421925
10.0,94.5,-0.08000501129636106
10.0,95.0,-0.10249198331616682
10.0,95.5,-0.11360116420335942
10.0,96.0,-0.13206898042638926
10.0,96.5,-0.15875126523396332
10.0,97.0,-0.1825315056734027
10.0,97.5,-0.2112828225941641
10.0,98.0,-0.23814478218782398
10.0,98.5,-0.2717967295241017
10.0,99.0,-0.2953236937408157
10.0,99.5,-0.34661357813860505
10.0,100.0,-0.3751755830851131
10.0,100.5,-0.4026308906060514
10.0,101.0,-0.46544382886168734
10.0,101.5,-0.513261495216458
10.0,102.0,-0.5476649875307835
10.0,102.5,-0.6022195598726405
10.0,103.0,-0.6535583395918607
10.0,103.5,-0.7155056660786379
10.0,104.0,-0.775284097680796
10.0,104.5,-0.8328810679791339
10.0,105.0,-0.888284377144803
10.0,105.5,-0.9414822040140045
10.0,106.0,-1.0335283234585617
10.0,106.5,-1.081651861910899
10.0,107.0,-1.1448126975835393
10.0,107.5,-1.2280475534604882
10.0,108.0,-1.2875485254658692
10.0,108.5,-1.34564768134452
10.0,109.0,-1.4397396466212733
10.0,109.5,-1.531186817097499
10.0,110.0,-1.6199651393245453
10.0,110.5,-1.6707962543180912
10.0,111.0,-1.7894211634908999
10.0,111.5,-1.8918055645807819
10.0,112.0,-1.970210512781108
10.0,112.5,-2.068552456781454
10.0,113.0,-2.1650607270754634
10.0,113.5,-2.2597173427658745
10.0,114.0,-2.352504438866273
10.0,114.5,-2.4732817910816998
10.0,115.0,-2.561637950282737
10.0,115.5,-2.6480660482762843
10.0,116.0,-2.786249387910509
10.0,116.5,-2.8685543979284667
10.0,117.0,-3.0021150467292195
10.0,117.5,-3.133196634017345
10.0,118.0,-3.2090367278154943
10.0,118.5,-3.363575099262178
10.0,119.0,-3.4355173740159124
10.0,119.5,-3.609395060922271
10.0,120.0,-3.7062621053087383
10.0,120.5,-3.823352298093454
10.0,121.0,-3.9682676814734705
10.0,121.5,-4.111372923902547
10.0,122.0,-4.221284894088946
10.0,122.5,-4.360266357245266
10.0,123.0,-4.497350334386237
10.0,123.5,-4.632508086336973
10.0,124.0,-4.7657107067783
10.0,124.5,-4.896929138910117
10.0,125.0,-5.041082635947902
10.0,125.5,-5.153296565492763
10.0,126.0,-5.278386857700294
10.0,126.5,-5.449449645780408
10.0,127.0,-5.569986563148035
10.0,127.5,-5.724476276869968
10.0,128.0,-5.841084274495497
10.0,128.5,-6.039204523607825
10.0,129.0,-6.104938313991582
10.0,129.5,-6.299112036271836
10.0,130.0,-6.445280394996768
10.0,130.5,-6.551412123752762
10.0,131.0,-6.694091619828935
10.0,131.5,-6.880011978154865
10.0,132.0,-7.0191302566758615
10.0,132.5,-7.1565807192964
10.0,133.0,-7.336130766682555
10.0,133.5,-7.469817739081645
10.0,134.0,-7.686041084429316
10.0,134.5,-7.816192296502511
10.0,135.0,-8.028834709466032
10.0,135.5,-8.155307841749195
10.0,136.0,-8.364199156096173
10.0,136.5,-8.569074930235931
10.0,137.0,-8.650980117350635
10.0,137.5,-8.854310200291938
10.0,138.0,-9.01547151708671
10.0,138.5,-9.21499778095503
10.0,139.0,-9.457180683158878
10.0,139.5,-9.652658315875975
10.0,140.0,-9.807380920893216
10.0,140.5,-10.044553607968059
10.0,141.0,-10.19615722135481
10.0,141.5,-10.346180002987502
10.0,142.0,-10.578315221395243
10.0,142.5,-10.772127237962206
10.0,143.0,-10.917432570362884
10.0,143.5,-11.144453409227523
10.0,144.0,-11.334244437975435
10.0,144.5,-11.47446997189931
10.0,145.0,-11.661544203501961
10.0,145.5,-11.881335107676719
10.0,146.0,-12.065419146022624
10.0,146.5,-12.33083050157487
10.0,147.0,-12.512014689315361
10.0,147.5,-12.691753258725388
10.0,148.0,-12.920435879054743
10.0,148.5,-13.097445051650595
10.0,149.0,-13.272882433308173
10.0,149.5,-13.497946633420213
10.0,150.0,-13.75191424661385
10.0,150.5,-13.892909466585959
10.0,151.0,-14.11420313700529
10.0,151.5,-14.33422912676355
10.0,152.0,-14.552938877489126
10.0,152.5,-14.770281632220193
10.0,153.0,-14.986204332854136
10.0,153.5,-15.120577000289366
10.0,154.0,-15.333750760377882
10.0,154.5,-15.599060104484959
10.0,155.0,-15.72992705904317
10.0,155.5,-15.992888541399605
10.0,156.0,-16.121372351641348
