"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +7.13672577273E+000, +0.00000000000E+000
+9.00497500000E+007, +1.72254805386E+001, +0.00000000000E+000
+1.80049500000E+008, +1.88791068627E+001, +0.00000000000E+000
+2.70049250000E+008, +2.01066085309E+001, +0.00000000000E+000
+3.60049000000E+008, +1.84304449018E+001, +0.00000000000E+000
+4.50048750000E+008, +1.63421854015E+001, +0.00000000000E+000
+5.40048500000E+008, +1.40072296288E+001, +0.00000000000E+000
+6.30048250000E+008, +1.25483034166E+001, +0.00000000000E+000
+7.20048000000E+008, +1.18586143742E+001, +0.00000000000E+000
+8.10047750000E+008, +1.12091554531E+001, +0.00000000000E+000
+9.00047500000E+008, +1.02125566686E+001, +0.00000000000E+000
+9.90047250000E+008, +9.24035882410E+000, +0.00000000000E+000
+1.08004700000E+009, +8.56076543321E+000, +0.00000000000E+000
+1.17004675000E+009, +8.07949160502E+000, +0.00000000000E+000
+1.26004650000E+009, +7.64311105477E+000, +0.00000000000E+000
+1.35004625000E+009, +7.18078430579E+000, +0.00000000000E+000
+1.44004600000E+009, +6.72315146605E+000, +0.00000000000E+000
+1.53004575000E+009, +6.40315013672E+000, +0.00000000000E+000
+1.62004550000E+009, +6.09864586466E+000, +0.00000000000E+000
+1.71004525000E+009, +5.78758409471E+000, +0.00000000000E+000
+1.80004500000E+009, +5.43471124137E+000, +0.00000000000E+000
+1.89004475000E+009, +5.25474836030E+000, +0.00000000000E+000
+1.98004450000E+009, +4.95240539981E+000, +0.00000000000E+000
+2.07004425000E+009, +4.56688434908E+000, +0.00000000000E+000
+2.16004400000E+009, +4.26786383439E+000, +0.00000000000E+000
+2.25004375000E+009, +4.19336735272E+000, +0.00000000000E+000
+2.34004350000E+009, +4.03911966789E+000, +0.00000000000E+000
+2.43004325000E+009, +3.81672910574E+000, +0.00000000000E+000
+2.52004300000E+009, +3.62037908187E+000, +0.00000000000E+000
+2.61004275000E+009, +3.57037894357E+000, +0.00000000000E+000
+2.70004250000E+009, +3.48048197487E+000, +0.00000000000E+000
+2.79004225000E+009, +3.27202968620E+000, +0.00000000000E+000
+2.88004200000E+009, +3.14212927375E+000, +0.00000000000E+000
+2.97004175000E+009, +3.12270199107E+000, +0.00000000000E+000
+3.06004150000E+009, +2.87314568269E+000, +0.00000000000E+000
+3.15004125000E+009, +2.43205325179E+000, +0.00000000000E+000
+3.24004100000E+009, +2.37448424551E+000, +0.00000000000E+000
+3.33004075000E+009, +2.45153559594E+000, +0.00000000000E+000
+3.42004050000E+009, +2.38739288681E+000, +0.00000000000E+000
+3.51004025000E+009, +2.34950342362E+000, +0.00000000000E+000
+3.60004000000E+009, +2.49019351828E+000, +0.00000000000E+000
+3.69003975000E+009, +2.35844103567E+000, +0.00000000000E+000
+3.78003950000E+009, +2.17435211989E+000, +0.00000000000E+000
+3.87003925000E+009, +2.03526884105E+000, +0.00000000000E+000
+3.96003900000E+009, +2.08250725490E+000, +0.00000000000E+000
+4.05003875000E+009, +2.21648536018E+000, +0.00000000000E+000
+4.14003850000E+009, +2.29279521492E+000, +0.00000000000E+000
