# Frequency_GHz    Mean_VSWR    SD_VSWR    N_horns
# Ensemble average of VSWR_1.CSV through VSWR_8.CSV; native frequency grid.
  0.00005000    7.15178607    0.02972879  8
  0.09004975   17.31360582    0.08894152  8
  0.18004950   19.01652762    0.16451079  8
  0.27004925   20.27347288    0.19667561  8
  0.36004900   18.62676597    0.23253450  8
  0.45004875   16.56899039    0.25680909  8
  0.54004850   14.26157765    0.27362848  8
  0.63004825   12.83746820    0.30286105  8
  0.72004800   12.18785596    0.34766276  8
  0.81004775   11.56902235    0.38870892  8
  0.90004750   10.58096714    0.40732658  8
  0.99004725    9.60975896    0.41849048  8
  1.08004700    8.93965177    0.44221923  8
  1.17004675    8.47039609    0.47266741  8
  1.26004650    8.03611654    0.49373000  8
  1.35004625    7.57484792    0.51398179  8
  1.44004600    7.11446312    0.52451719  8
  1.53004575    6.80065779    0.54267837  8
  1.62004550    6.50453493    0.56088449  8
  1.71004525    6.20693995    0.58174212  8
  1.80004500    5.86423752    0.59613166  8
  1.89004475    5.70614709    0.62450221  8
  1.98004450    5.41299144    0.63510180  8
  2.07004425    5.03148800    0.63615931  8
  2.16004400    4.74768237    0.64944863  8
  2.25004375    4.70798919    0.68830521  8
  2.34004350    4.57326867    0.70784633  8
  2.43004325    4.35061392    0.69961517  8
  2.52004300    4.15531009    0.69030098  8
  2.61004275    4.12436513    0.70357723  8
  2.70004250    4.04105083    0.69797980  8
  2.79004225    3.82682476    0.67720258  8
  2.88004200    3.71355181    0.68612012  8
  2.97004175    3.73448010    0.72064051  8
  3.06004150    3.52931531    0.74978815  8
  3.15004125    3.13731431    0.76588556  8
  3.24004100    2.92605712    0.79121990  8
  3.33004075    2.92515708    0.82362123  8
  3.42004050    2.78967640    0.79945566  8
  3.51004025    2.63274364    0.74007856  8
  3.60004000    2.67989745    0.67657495  8
  3.69003975    2.70797849    0.52855001  8
  3.78003950    2.52052064    0.37400149  8
  3.87003925    2.37424764    0.34636409  8
  3.96003900    2.45016040    0.35108547  8
  4.05003875    2.58798182    0.34552870  8
  4.14003850    2.61464769    0.34514247  8
  4.23003825    2.61653472    0.45413808  8
  4.32003800    2.79077247    0.49719404  8
  4.41003775    2.95286746    0.48862353  8
  4.50003750    2.88051475    0.43779263  8
  4.59003725    2.82377284    0.42585295  8
  4.68003700    3.05296924    0.44292813  8
  4.77003675    3.16319121    0.42204189  8
  4.86003650    2.96030977    0.37550805  8
  4.95003625    2.91026456    0.38042037  8
  5.04003600    3.18859980    0.41262723  8
  5.13003575    3.12196003    0.39065939  8
  5.22003550    2.82966046    0.35978652  8
  5.31003525    2.85685432    0.38598564  8
  5.40003500    3.00149530    0.41213368  8
  5.49003475    2.78743709    0.38000050  8
  5.58003450    2.56638183    0.35961184  8
  5.67003425    2.63581145    0.37727152  8
  5.76003400    2.72738898    0.37545273  8
  5.85003375    2.61842730    0.33473577  8
  5.94003350    2.50537152    0.31259161  8
  6.03003325    2.62904062    0.31329925  8
  6.12003300    2.76381538    0.29672278  8
  6.21003275    2.65390300    0.25994946  8
  6.30003250    2.55531916    0.24300704  8
  6.39003225    2.72730502    0.24703925  8
  6.48003200    2.83275181    0.24495322  8
  6.57003175    2.67439941    0.22606130  8
  6.66003150    2.62883958    0.21908238  8
  6.75003125    2.75902956    0.22619652  8
  6.84003100    2.68579698    0.22255048  8
  6.93003075    2.50170469    0.21058160  8
  7.02003050    2.53660470    0.21849726  8
  7.11003025    2.60245523    0.23258255  8
  7.20003000    2.43333798    0.22571045  8
  7.29002975    2.29111012    0.21856585  8
  7.38002950    2.36010115    0.23732336  8
  7.47002925    2.36245292    0.25383423  8
  7.56002900    2.21483473    0.24902376  8
  7.65002875    2.16304337    0.24807545  8
  7.74002850    2.22874377    0.25890033  8
  7.83002825    2.14972105    0.24946212  8
  7.92002800    1.97328697    0.22733242  8
  8.01002775    1.98257589    0.22845352  8
  8.10002750    2.09957998    0.25105818  8
  8.19002725    2.04979369    0.25091440  8
  8.28002700    1.90337768    0.23607190  8
  8.37002675    1.92833310    0.23777457  8
  8.46002650    1.95220131    0.24855793  8
  8.55002625    1.82123445    0.23572467  8
  8.64002600    1.69326198    0.22690000  8
  8.73002575    1.72966307    0.23981291  8
  8.82002550    1.72297948    0.25161348  8
  8.91002525    1.60599315    0.23277003  8
  9.00002500    1.51271875    0.21664474  8
  9.09002475    1.54243845    0.21617239  8
  9.18002450    1.56543754    0.21231949  8
  9.27002425    1.53242067    0.19317916  8
  9.36002400    1.53228937    0.18932702  8
  9.45002375    1.61771680    0.19365111  8
  9.54002350    1.64796334    0.18513470  8
  9.63002325    1.58797722    0.16850315  8
  9.72002300    1.59968445    0.16508327  8
  9.81002275    1.69847063    0.16798083  8
  9.90002250    1.70190621    0.16033675  8
  9.99002225    1.63570501    0.15284223  8
 10.08002200    1.67604555    0.15538170  8
 10.17002175    1.69626486    0.15689841  8
 10.26002150    1.58574494    0.14445333  8
 10.35002125    1.51812591    0.13961463  8
 10.44002100    1.59754224    0.14756024  8
 10.53002075    1.62176167    0.14418451  8
 10.62002050    1.54675934    0.11941720  8
 10.71002025    1.49143496    0.11083061  8
 10.80002000    1.56030346    0.11369644  8
 10.89001975    1.58950454    0.10707525  8
 10.98001950    1.54072192    0.09250815  8
 11.07001925    1.50128415    0.09620485  8
 11.16001900    1.63756174    0.09984001  8
 11.25001875    1.69814230    0.09465894  8
 11.34001850    1.60498121    0.08135128  8
 11.43001825    1.56986783    0.07232527  8
 11.52001800    1.76479083    0.07558412  8
 11.61001775    1.81945267    0.07849570  8
 11.70001750    1.69271303    0.07176863  8
 11.79001725    1.69540706    0.06372780  8
 11.88001700    1.83536151    0.07428382  8
 11.97001675    1.77586171    0.07915586  8
 12.06001650    1.58432985    0.06945027  8
 12.15001625    1.61435372    0.06252222  8
 12.24001600    1.70525648    0.07596564  8
 12.33001575    1.62591705    0.07749261  8
 12.42001550    1.47329202    0.06691678  8
 12.51001525    1.52598442    0.06089645  8
 12.60001500    1.56718795    0.07043568  8
 12.69001475    1.49078903    0.06750524  8
 12.78001450    1.38226755    0.05931893  8
 12.87001425    1.44346530    0.05462179  8
 12.96001400    1.50115115    0.05963608  8
 13.05001375    1.45750239    0.05623782  8
 13.14001350    1.36660518    0.04834742  8
 13.23001325    1.43293505    0.03737102  8
 13.32001300    1.61682296    0.05012220  8
 13.41001275    1.52368978    0.04859444  8
 13.50001250    1.45144168    0.03831063  8
 13.59001225    1.53173807    0.03680066  8
 13.68001200    1.53612725    0.04700830  8
 13.77001175    1.29550226    0.03500723  8
 13.86001150    1.30892613    0.02181161  8
 13.95001125    1.39416519    0.02635025  8
 14.04001100    1.38399635    0.03186335  8
 14.13001075    1.34643255    0.01857857  8
 14.22001050    1.39298488    0.00762041  8
 14.31001025    1.39706015    0.01275907  8
 14.40001000    1.33769444    0.00919143  8
