# Frequency_GHz    Mean_VSWR    SD_VSWR    N_horns
# 0.25-GHz-wide bins; ensemble average of VSWR_1.CSV through VSWR_8.CSV.
   0.125   14.49397317    0.09053473  8
   0.375   18.48974308    0.22804230  8
   0.625   13.09563394    0.30759156  8
   0.875   10.58658281    0.40460434  8
   1.125    8.70502393    0.45737529  8
   1.375    7.57514253    0.51065959  8
   1.625    6.50404422    0.56172891  8
   1.875    5.66112535    0.61854691  8
   2.125    4.88958518    0.64274616  8
   2.375    4.54395726    0.69856153  8
   2.625    4.10690868    0.69722290  8
   2.875    3.75828556    0.69411727  8
   3.125    3.19756225    0.76431516  8
   3.375    2.85741674    0.81069028  8
   3.625    2.67353986    0.63852349  8
   3.875    2.44830956    0.35398782  8
   4.125    2.60638808    0.37460208  8
   4.375    2.87181997    0.49284270  8
   4.625    2.91908561    0.43536125  8
   4.875    3.01125518    0.39253302  8
   5.125    3.04674010    0.38757480  8
   5.375    2.88192890    0.39253202  8
   5.625    2.60109664    0.36843312  8
   5.875    2.61706260    0.34083752  8
   6.125    2.68225300    0.28976344  8
   6.375    2.70512533    0.24493513  8
   6.625    2.65161950    0.22251913  8
   6.875    2.64884374    0.21972663  8
   7.125    2.52413264    0.22556741  8
   7.375    2.33788806    0.23650411  8
   7.625    2.20220729    0.25193262  8
   7.875    2.06150401    0.23837734  8
   8.125    2.04398319    0.24345727  8
   8.375    1.92797070    0.24077762  8
   8.625    1.74805317    0.23411347  8
   8.875    1.66448632    0.24212622  8
   9.125    1.54019824    0.21500265  8
   9.375    1.56080895    0.19201905  8
   9.625    1.61187501    0.17283143  8
   9.875    1.67869395    0.16034617  8
  10.125    1.68615521    0.15606278  8
  10.375    1.56713770    0.14382632  8
  10.625    1.55331866    0.12464512  8
  10.875    1.56350998    0.10389647  8
  11.125    1.56942294    0.09795288  8
  11.375    1.62433045    0.08247950  8
  11.625    1.75898551    0.07486577  8
  11.875    1.76887676    0.07193227  8
  12.125    1.63464668    0.06905969  8
  12.375    1.54960454    0.07219721  8
  12.625    1.52798713    0.06610791  8
  12.875    1.44229467    0.05770264  8
  13.125    1.41901421    0.04710294  8
  13.375    1.57025637    0.04925970  8
  13.625    1.50643567    0.04049618  8
  13.875    1.33286453    0.02742643  8
  14.125    1.37447126    0.01864018  8
  14.375    1.35196312    0.00593657  8
  14.625    1.29997225    0.00173559  8
  14.875    1.35292997    0.01161708  8
  15.125    1.42213192    0.01642749  8
  15.375    1.37398678    0.02071379  8
  15.625    1.31373275    0.02199909  8
  15.875    1.31009423    0.02113938  8
  16.125    1.25096863    0.01994837  8
  16.375    1.16807298    0.01938902  8
  16.625    1.17939612    0.02858540  8
  16.875    1.16799543    0.03269596  8
  17.125    1.13467425    0.01285400  8
  17.375    1.22386642    0.00901835  8
  17.625    1.22665678    0.00572667  8
  17.875    1.18244643    0.00685594  8
