# Frequency_GHz    New_Horns_VSWR    HORN1_VSWR
# 0.25-GHz-wide bins; HORN2-HORN8 ensemble mean; HORN1 separately.
   0.125    635.33190310    237.41257082
   0.375     44.16357685     46.70757298
   0.625     28.21275192     31.97409070
   0.875     20.11926430     24.44038713
   1.125     14.98907137     19.54412705
   1.375     12.50504694     17.77336010
   1.625     10.46014457     16.77115817
   1.875      8.26155724     14.04992315
   2.125      7.35527368     13.69864490
   2.375      6.30222977     11.88556859
   2.625      5.56804593     11.04083685
   2.875      4.95645154     10.13381406
   3.125      4.54252587      9.38517708
   3.375      4.15670165      8.74924459
   3.625      4.18143879      9.04514397
   3.875      4.14500740      8.87963170
   4.125      3.92431533      8.18514236
   4.375      4.36917829      9.72929671
   4.625      4.09501121      8.17542771
   4.875      3.95560501      7.75758548
   5.125      4.18512113      8.43315535
   5.375      4.16733161      7.74739155
   5.625      4.30305165      7.90923996
   5.875      4.27988461      7.46376513
   6.125      4.98160887      8.64095426
   6.375      4.50422919      7.17173071
   6.625      4.35582863      7.01282571
   6.875      4.60682980      7.56385000
   7.125      4.17621155      6.73560149
   7.375      3.80740009      6.17511611
   7.625      3.75226724      6.65405422
   7.875      3.41675544      5.90051915
   8.125      2.93368962      5.13799735
   8.375      2.79804078      5.10356731
   8.625      2.49842475      4.49910979
   8.875      2.32540638      4.26223055
   9.125      2.08622638      3.71590283
   9.375      2.04561930      3.49375077
   9.625      1.99635857      3.38849015
   9.875      1.98472966      3.04766225
  10.125      2.06953379      3.19903257
  10.375      2.07069624      3.14233222
  10.625      2.13245155      3.13448467
  10.875      2.00295997      2.92694496
  11.125      2.20207411      3.16916413
  11.375      2.30866438      3.24280000
  11.625      2.25994107      2.99578687
  11.875      2.33815992      3.10099324
  12.125      2.35633746      3.11259352
  12.375      2.17196356      2.75673782
  12.625      2.18312374      2.81878763
  12.875      2.15075672      2.80937633
  13.125      2.02377826      2.52065569
  13.375      1.78774349      2.21344963
  13.625      1.42811358      1.71631048
  13.875      1.50856811      1.71849529
  14.125      1.26205995      1.40204486
  14.375      1.31191956      1.46639629
  14.625      1.50979456      1.75729484
  14.875      1.26951776      1.47978634
  15.125      1.32863228      1.58383680
  15.375      1.23516911      1.47107954
  15.625      1.61694373      1.95258915
  15.875      1.36326837      1.67056403
  16.125      1.34538380      1.65156994
  16.375      1.48266526      1.94133873
  16.625      1.45681284      1.89889846
  16.875      1.52278960      1.95691944
  17.125      1.43327305      1.75940651
  17.375      1.39804541      1.47801769
  17.625      1.23397745      1.24017109
  17.875      1.18045915      1.33920476
